Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency
contrat,,7,r,real,long,high,simple,4.96,RLHS,contrat,4.96
véhicule,,8,r,real,long,high,simple,4.61,RLHS,véhicule,4.61
beaucoup,,8,r,real,long,high,simple,5.75,RLHS,beaucoup,5.75
poubelle,,8,r,real,long,high,simple,4.07,RLHS,poubelle,4.07
immeuble,,8,r,real,long,high,simple,4.49,RLHS,immeuble,4.49
problème,,8,r,real,long,high,simple,5.41,RLHS,problème,5.41
phénomène,,9,r,real,long,high,simple,4.62,RLHS,phénomène,4.62
enveloppe,,9,r,real,long,high,simple,4.14,RLHS,enveloppe,4.14
caractère,,9,r,real,long,high,simple,4.8,RLHS,caractère,4.8
consensus,,9,r,real,long,high,simple,4.04,RLHS,consensus,4.04
catalogue,,9,r,real,long,high,simple,4.29,RLHS,catalogue,4.29
lieutenant,,10,r,real,long,high,simple,4.51,RLHS,lieutenant,4.51
cathédrale,,10,r,real,long,high,simple,4.17,RLHS,cathédrale,4.17
hiérarchie,,10,r,real,long,high,simple,4.06,RLHS,hiérarchie,4.06
appartement,,10,r,real,long,high,simple,4.61,RLHS,appartement,4.61
nourriture,,10,r,real,long,high,simple,4.22,RLHS,nourriture,4.62
heure,,5,r,real,short,high,simple,5.39,RSHS,heure,5.39
aussi,,5,r,real,short,high,simple,6.19,RSHS,aussi,6.19
poule,,5,r,real,short,high,simple,4.21,RSHS,poule,4.21
hôtel,,5,r,real,short,high,simple,4.97,RSHS,hôtel,4.97
bravo,,5,r,real,short,high,simple,4.54,RSHS,bravo,4.54
sombre,,6,r,real,short,high,simple,4.42,RSHS,sombre,4.42
preuve,,6,r,real,short,high,simple,4.95,RSHS,preuve,4.95
argent,,6,r,real,short,high,simple,5.37,RSHS,argent,5.37
beurre,,6,r,real,short,high,simple,4.29,RSHS,beurre,4.29
guerre,,6,r,real,short,high,simple,5.42,RSHS,guerre,5.42
valse,,5,r,real,short,low,simple,3.36,RSLS,valse,3.36
magne,,5,r,real,short,low,simple,3.09,RSLS,magne,3.09
pitre,,5,r,real,short,low,simple,3.19,RSLS,pitre,3.19
gigot,,5,r,real,short,low,simple,2.78,RSLS,gigot,2.78
polar,,5,r,real,short,low,simple,3.44,RSLS,polar,3.44
pollen,,6,r,real,short,low,simple,3.35,RSLS,pollen,3.35
gomina,,6,r,real,short,low,simple,1.5,RSLS,gomina,1.5
magnat,,6,r,real,short,low,simple,3.09,RSLS,magnat,3.09
gratin,,6,r,real,short,low,simple,3.29,RSLS,gratin,3.29
piston,,6,r,real,short,low,simple,3.38,RSLS,piston,3.38
