Word,Condition,Audio_Male,Audio_Female
invigorate,RLLC,invigorate_Rocko.wav,invigorate_Flo.wav
scepticism,RLLC,scepticism_Rocko.wav,scepticism_Flo.wav
vengefully,RLLC,vengefully_Rocko.wav,vengefully_Flo.wav
allurement,RLLC,allurement_Rocko.wav,allurement_Flo.wav
translator,RLHC,translator_Rocko.wav,translator_Flo.wav
impossible,RLHC,impossible_Rocko.wav,impossible_Flo.wav
disclosure,RLHC,disclosure_Rocko.wav,disclosure_Flo.wav
theatrical,RLHC,theatrical_Rocko.wav,theatrical_Flo.wav
vertically,RLHC,vertically_Rocko.wav,vertically_Flo.wav
understand,RLHS,understand_Rocko.wav,understand_Flo.wav
experience,RLHS,experience_Rocko.wav,experience_Flo.wav
discipline,RLHS,discipline_Rocko.wav,discipline_Flo.wav
phenomenon,RLHS,phenomenon_Rocko.wav,phenomenon_Flo.wav
restaurant,RLHS,restaurant_Rocko.wav,restaurant_Flo.wav
chinchilla,RLLS,chinchilla_Rocko.wav,chinchilla_Flo.wav
shenanigan,RLLS,shenanigan_Rocko.wav,shenanigan_Flo.wav
leprechaun,RLLS,leprechaun_Rocko.wav,leprechaun_Flo.wav
hieroglyph,RLLS,hieroglyph_Rocko.wav,hieroglyph_Flo.wav
palindrome,RLLS,palindrome_Rocko.wav,palindrome_Flo.wav
unkinter,PLC,unkinter_Rocko.wav,unkinter_Flo.wav
dishaven,PLC,dishaven_Rocko.wav,dishaven_Flo.wav
trustler,PLC,trustler_Rocko.wav,trustler_Flo.wav
sprindly,PLC,sprindly_Rocko.wav,sprindly_Flo.wav
impolder,PLC,impolder_Rocko.wav,impolder_Flo.wav
procreach,PLC,procreach_Rocko.wav,procreach_Flo.wav
rederlity,PLC,rederlity_Rocko.wav,rederlity_Flo.wav
distfully,PLC,distfully_Rocko.wav,distfully_Flo.wav
reodeness,PLC,reodeness_Rocko.wav,reodeness_Flo.wav
immerlize,PLC,immerlize_Rocko.wav,immerlize_Flo.wav
freasite,PLS,freasite_Rocko.wav,freasite_Flo.wav
garadign,PLS,garadign_Rocko.wav,garadign_Flo.wav
conflite,PLS,conflite_Rocko.wav,conflite_Flo.wav
hospency,PLS,hospency_Rocko.wav,hospency_Flo.wav
currease,PLS,currease_Rocko.wav,currease_Flo.wav
insterday,PLS,insterday_Rocko.wav,insterday_Flo.wav
chamerane,PLS,chamerane_Rocko.wav,chamerane_Flo.wav
artillise,PLS,artillise_Rocko.wav,artillise_Flo.wav
surrifane,PLS,surrifane_Rocko.wav,surrifane_Flo.wav
boomelege,PLS,boomelege_Rocko.wav,boomelege_Flo.wav
duid,PSS,duid_Rocko.wav,duid_Flo.wav
foab,PSS,foab_Rocko.wav,foab_Flo.wav
alab,PSS,alab_Rocko.wav,alab_Flo.wav
hyma,PSS,hyma_Rocko.wav,hyma_Flo.wav
daip,PSS,daip_Rocko.wav,daip_Flo.wav
abosh,PSS,abosh_Rocko.wav,abosh_Flo.wav
lirce,PSS,lirce_Rocko.wav,lirce_Flo.wav
bryst,PSS,bryst_Rocko.wav,bryst_Flo.wav
clect,PSS,clect_Rocko.wav,clect_Flo.wav
drall,PSS,drall_Rocko.wav,drall_Flo.wav
rearce,PSS,rearce_Rocko.wav,rearce_Flo.wav
japhen,PSS,japhen_Rocko.wav,japhen_Flo.wav
wrivol,PSS,wrivol_Rocko.wav,wrivol_Flo.wav
courch,PSS,courch_Rocko.wav,courch_Flo.wav
puivon,PSS,puivon_Rocko.wav,puivon_Flo.wav
hexy,PSC,hexy_Rocko.wav,hexy_Flo.wav
juns,PSC,juns_Rocko.wav,juns_Flo.wav
nory,PSC,nory_Rocko.wav,nory_Flo.wav
rewn,PSC,rewn_Rocko.wav,rewn_Flo.wav
onts,PSC,onts_Rocko.wav,onts_Flo.wav
entew,PSC,entew_Rocko.wav,entew_Flo.wav
lauly,PSC,lauly_Rocko.wav,lauly_Flo.wav
betor,PSC,betor_Rocko.wav,betor_Flo.wav
plars,PSC,plars_Rocko.wav,plars_Flo.wav
damer,PSC,damer_Rocko.wav,damer_Flo.wav
flants,PSC,flants_Rocko.wav,flants_Flo.wav
icones,PSC,icones_Rocko.wav,icones_Flo.wav
encask,PSC,encask_Rocko.wav,encask_Flo.wav
misbar,PSC,misbar_Rocko.wav,misbar_Flo.wav
counds,PSC,counds_Rocko.wav,counds_Flo.wav
submingers,PLC,submingers_Rocko.wav,submingers_Flo.wav
chriniable,PLC,chriniable_Rocko.wav,chriniable_Flo.wav
alassfully,PLC,alassfully_Rocko.wav,alassfully_Flo.wav
digrersher,PLC,digrersher_Rocko.wav,digrersher_Flo.wav
phounching,PLC,phounching_Rocko.wav,phounching_Flo.wav
thildhoust,PLS,thildhoust_Rocko.wav,thildhoust_Flo.wav
gormassime,PLS,gormassime_Rocko.wav,gormassime_Flo.wav
tescootous,PLS,tescootous_Rocko.wav,tescootous_Flo.wav
dritertoon,PLS,dritertoon_Rocko.wav,dritertoon_Flo.wav
noocantong,PLS,noocantong_Rocko.wav,noocantong_Flo.wav
