Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
coice,,,,,pseudo_court_simple
coile,,,,,pseudo_court_simple
glant,,,,,pseudo_court_simple
glave,,,,,pseudo_court_simple
glown,,,,,pseudo_court_simple
grâci,,,,,pseudo_court_simple
gribe,,,,,pseudo_court_simple
grice,,,,,pseudo_court_simple
grile,,,,,pseudo_court_simple
grule,,,,,pseudo_court_simple
grune,,,,,pseudo_court_simple
grure,,,,,pseudo_court_simple
hacal,,,,,pseudo_court_simple
hacre,,,,,pseudo_court_simple
hadio,,,,,pseudo_court_simple
hagur,,,,,pseudo_court_simple
hampa,,,,,pseudo_court_simple
heule,,,,,pseudo_court_simple
heuno,,,,,pseudo_court_simple
hiane,,,,,pseudo_court_simple
hiano,,,,,pseudo_court_simple
hiave,,,,,pseudo_court_simple
hinon,,,,,pseudo_court_simple
hinou,,,,,pseudo_court_simple
hinsi,,,,,pseudo_court_simple
hinte,,,,,pseudo_court_simple
hoeue,,,,,pseudo_court_simple
hoibe,,,,,pseudo_court_simple
hoice,,,,,pseudo_court_simple
honou,,,,,pseudo_court_simple
honsi,,,,,pseudo_court_simple
houre,,,,,pseudo_court_simple
lacre,,,,,pseudo_court_simple
ladio,,,,,pseudo_court_simple
laglà,,,,,pseudo_court_simple
lagle,,,,,pseudo_court_simple
lague,,,,,pseudo_court_simple
loile,,,,,pseudo_court_simple
loêle,,,,,pseudo_court_simple
loeue,,,,,pseudo_court_simple
loeur,,,,,pseudo_court_simple
loile,,,,,pseudo_court_simple
lonsi,,,,,pseudo_court_simple
moeur,,,,,pseudo_court_simple
moibe,,,,,pseudo_court_simple
moici,,,,,pseudo_court_simple
moilà,,,,,pseudo_court_simple
piaci,,,,,pseudo_court_simple
piave,,,,,pseudo_court_simple
pinou,,,,,pseudo_court_simple
pocal,,,,,pseudo_court_simple
poeur,,,,,pseudo_court_simple
poibe,,,,,pseudo_court_simple
poice,,,,,pseudo_court_simple
pouno,,,,,pseudo_court_simple
prâce,,,,,pseudo_court_simple
prâci,,,,,pseudo_court_simple
prane,,,,,pseudo_court_simple
price,,,,,pseudo_court_simple
prici,,,,,pseudo_court_simple
prilà,,,,,pseudo_court_simple
prile,,,,,pseudo_court_simple
racre,,,,,pseudo_court_simple
rague,,,,,pseudo_court_simple
règue,,,,,pseudo_court_simple
règur,,,,,pseudo_court_simple
siaci,,,,,pseudo_court_simple
siver,,,,,pseudo_court_simple
sussi,,,,,pseudo_court_simple
vocre,,,,,pseudo_court_simple
voêle,,,,,pseudo_court_simple
voeue,,,,,pseudo_court_simple
voibe,,,,,pseudo_court_simple
voice,,,,,pseudo_court_simple
vonsi,,,,,pseudo_court_simple
voure,,,,,pseudo_court_simple
balant,,,,,pseudo_court_simple
maisin,,,,,pseudo_court_simple
camais,,,,,pseudo_court_simple
solais,,,,,pseudo_court_simple
crange,,,,,pseudo_court_simple
cranas,,,,,pseudo_court_simple
orayon,,,,,pseudo_court_simple
gloche,,,,,pseudo_court_simple
salise,,,,,pseudo_court_simple
voleil,,,,,pseudo_court_simple
solant,,,,,pseudo_court_simple
oranas,,,,,pseudo_court_simple
cloire,,,,,pseudo_court_simple
valade,,,,,pseudo_court_simple
volade,,,,,pseudo_court_simple
jamion,,,,,pseudo_court_simple
salais,,,,,pseudo_court_simple
anange,,,,,pseudo_court_simple
solade,,,,,pseudo_court_simple
bali,,,,,pseudo_court_complexe
bant,,,,,pseudo_court_complexe
baté,,,,,pseudo_court_complexe
boie,,,,,pseudo_court_complexe
boli,,,,,pseudo_court_complexe
bonu,,,,,pseudo_court_complexe
bori,,,,,pseudo_court_complexe
bors,,,,,pseudo_court_complexe
bort,,,,,pseudo_court_complexe
boux,,,,,pseudo_court_complexe
buri,,,,,pseudo_court_complexe
burs,,,,,pseudo_court_complexe
busé,,,,,pseudo_court_complexe
doie,,,,,pseudo_court_complexe
doli,,,,,pseudo_court_complexe
dols,,,,,pseudo_court_complexe
dori,,,,,pseudo_court_complexe
doue,,,,,pseudo_court_complexe
dous,,,,,pseudo_court_complexe
fécs,,,,,pseudo_court_complexe
fécu,,,,,pseudo_court_complexe
fuée,,,,,pseudo_court_complexe
fure,,,,,pseudo_court_complexe
furi,,,,,pseudo_court_complexe
futs,,,,,pseudo_court_complexe
livé,,,,,pseudo_court_complexe
moie,,,,,pseudo_court_complexe
moli,,,,,pseudo_court_complexe
monu,,,,,pseudo_court_complexe
mori,,,,,pseudo_court_complexe
moux,,,,,pseudo_court_complexe
mûrt,,,,,pseudo_court_complexe
rali,,,,,pseudo_court_complexe
rals,,,,,pseudo_court_complexe
rans,,,,,pseudo_court_complexe
rant,,,,,pseudo_court_complexe
ranu,,,,,pseudo_court_complexe
roie,,,,,pseudo_court_complexe
roli,,,,,pseudo_court_complexe
rols,,,,,pseudo_court_complexe
ront,,,,,pseudo_court_complexe
rore,,,,,pseudo_court_complexe
rori,,,,,pseudo_court_complexe
rors,,,,,pseudo_court_complexe
rort,,,,,pseudo_court_complexe
rous,,,,,pseudo_court_complexe
rure,,,,,pseudo_court_complexe
ruri,,,,,pseudo_court_complexe
rurs,,,,,pseudo_court_complexe
rurt,,,,,pseudo_court_complexe
ruté,,,,,pseudo_court_complexe
ruts,,,,,pseudo_court_complexe
sant,,,,,pseudo_court_complexe
sase,,,,,pseudo_court_complexe
sasé,,,,,pseudo_court_complexe
saté,,,,,pseudo_court_complexe
sats,,,,,pseudo_court_complexe
secu,,,,,pseudo_court_complexe
seli,,,,,pseudo_court_complexe
senu,,,,,pseudo_court_complexe
seue,,,,,pseudo_court_complexe
seus,,,,,pseudo_court_complexe
seux,,,,,pseudo_court_complexe
sonu,,,,,pseudo_court_complexe
sore,,,,,pseudo_court_complexe
surt,,,,,pseudo_court_complexe
suse,,,,,pseudo_court_complexe
susé,,,,,pseudo_court_complexe
suté,,,,,pseudo_court_complexe
suts,,,,,pseudo_court_complexe
tali,,,,,pseudo_court_complexe
tals,,,,,pseudo_court_complexe
tanu,,,,,pseudo_court_complexe
tase,,,,,pseudo_court_complexe
tasé,,,,,pseudo_court_complexe
taté,,,,,pseudo_court_complexe
tats,,,,,pseudo_court_complexe
toli,,,,,pseudo_court_complexe
tols,,,,,pseudo_court_complexe
tont,,,,,pseudo_court_complexe
tonu,,,,,pseudo_court_complexe
tori,,,,,pseudo_court_complexe
vecs,,,,,pseudo_court_complexe
vécs,,,,,pseudo_court_complexe
vecu,,,,,pseudo_court_complexe
vées,,,,,pseudo_court_complexe
veli,,,,,pseudo_court_complexe
vels,,,,,pseudo_court_complexe
vens,,,,,pseudo_court_complexe
veue,,,,,pseudo_court_complexe
veus,,,,,pseudo_court_complexe
vité,,,,,pseudo_court_complexe
vivé,,,,,pseudo_court_complexe
yecs,,,,,pseudo_court_complexe
yecu,,,,,pseudo_court_complexe
yeli,,,,,pseudo_court_complexe
yels,,,,,pseudo_court_complexe
yent,,,,,pseudo_court_complexe
yeue,,,,,pseudo_court_complexe
yeus,,,,,pseudo_court_complexe
ailif,,,,,pseudo_court_complexe
ailin,,,,,pseudo_court_complexe
ailit,,,,,pseudo_court_complexe
ainal,,,,,pseudo_court_complexe
ainté,,,,,pseudo_court_complexe
aints,,,,,pseudo_court_complexe
belet,,,,,pseudo_court_complexe
belif,,,,,pseudo_court_complexe
belin,,,,,pseudo_court_complexe
bemes,,,,,pseudo_court_complexe
bemet,,,,,pseudo_court_complexe
bevol,,,,,pseudo_court_complexe
bevui,,,,,pseudo_court_complexe
bevur,,,,,pseudo_court_complexe
bevus,,,,,pseudo_court_complexe
chage,,,,,pseudo_court_complexe
chaté,,,,,pseudo_court_complexe
choue,,,,,pseudo_court_complexe
choui,,,,,pseudo_court_complexe
chous,,,,,pseudo_court_complexe
clour,,,,,pseudo_court_complexe
cloux,,,,,pseudo_court_complexe
enfif,,,,,pseudo_court_complexe
enfit,,,,,pseudo_court_complexe
enfue,,,,,pseudo_court_complexe
enfur,,,,,pseudo_court_complexe
enfus,,,,,pseudo_court_complexe
enfux,,,,,pseudo_court_complexe
envue,,,,,pseudo_court_complexe
envui,,,,,pseudo_court_complexe
envur,,,,,pseudo_court_complexe
envus,,,,,pseudo_court_complexe
envux,,,,,pseudo_court_complexe
filit,,,,,pseudo_court_complexe
fints,,,,,pseudo_court_complexe
gaier,,,,,pseudo_court_complexe
gaits,,,,,pseudo_court_complexe
galer,,,,,pseudo_court_complexe
galif,,,,,pseudo_court_complexe
galin,,,,,pseudo_court_complexe
gruer,,,,,pseudo_court_complexe
gruet,,,,,pseudo_court_complexe
hâtin,,,,,pseudo_court_complexe
impue,,,,,pseudo_court_complexe
impui,,,,,pseudo_court_complexe
impus,,,,,pseudo_court_complexe
impux,,,,,pseudo_court_complexe
maier,,,,,pseudo_court_complexe
maiet,,,,,pseudo_court_complexe
maits,,,,,pseudo_court_complexe
malif,,,,,pseudo_court_complexe
masal,,,,,pseudo_court_complexe
mueur,,,,,pseudo_court_complexe
mueux,,,,,pseudo_court_complexe
naies,,,,,pseudo_court_complexe
naiet,,,,,pseudo_court_complexe
naits,,,,,pseudo_court_complexe
nales,,,,,pseudo_court_complexe
paiet,,,,,pseudo_court_complexe
paits,,,,,pseudo_court_complexe
palif,,,,,pseudo_court_complexe
pasal,,,,,pseudo_court_complexe
ponal,,,,,pseudo_court_complexe
pouer,,,,,pseudo_court_complexe
poues,,,,,pseudo_court_complexe
pouet,,,,,pseudo_court_complexe
rains,,,,,pseudo_court_complexe
rales,,,,,pseudo_court_complexe
ralin,,,,,pseudo_court_complexe
ralle,,,,,pseudo_court_complexe
reier,,,,,pseudo_court_complexe
reies,,,,,pseudo_court_complexe
reiet,,,,,pseudo_court_complexe
reits,,,,,pseudo_court_complexe
reles,,,,,pseudo_court_complexe
relif,,,,,pseudo_court_complexe
relin,,,,,pseudo_court_complexe
relle,,,,,pseudo_court_complexe
remer,,,,,pseudo_court_complexe
remes,,,,,pseudo_court_complexe
revol,,,,,pseudo_court_complexe
revui,,,,,pseudo_court_complexe
revur,,,,,pseudo_court_complexe
revux,,,,,pseudo_court_complexe
ronal,,,,,pseudo_court_complexe
ronts,,,,,pseudo_court_complexe
skiet,,,,,pseudo_court_complexe
skité,,,,,pseudo_court_complexe
skits,,,,,pseudo_court_complexe
têter,,,,,pseudo_court_complexe
têtif,,,,,pseudo_court_complexe
têtin,,,,,pseudo_court_complexe
têtit,,,,,pseudo_court_complexe
tueue,,,,,pseudo_court_complexe
tueui,,,,,pseudo_court_complexe
tueus,,,,,pseudo_court_complexe
tueux,,,,,pseudo_court_complexe
tural,,,,,pseudo_court_complexe
usaté,,,,,pseudo_court_complexe
usats,,,,,pseudo_court_complexe
bartel,,,,,pseudo_court_complexe
bartes,,,,,pseudo_court_complexe
bottel,,,,,pseudo_court_complexe
carils,,,,,pseudo_court_complexe
doirée,,,,,pseudo_court_complexe
fleuds,,,,,pseudo_court_complexe
jourvu,,,,,pseudo_court_complexe
mormal,,,,,pseudo_court_complexe
noeurs,,,,,pseudo_court_complexe
nortel,,,,,pseudo_court_complexe
nortes,,,,,pseudo_court_complexe
poueur,,,,,pseudo_court_complexe
soigts,,,,,pseudo_court_complexe
boudron,,,,,pseudo_long_simple
bourage,,,,,pseudo_long_simple
bouvoie,,,,,pseudo_long_simple
chapent,,,,,pseudo_long_simple
constal,,,,,pseudo_long_simple
coudron,,,,,pseudo_long_simple
courbon,,,,,pseudo_long_simple
couvoie,,,,,pseudo_long_simple
gourage,,,,,pseudo_long_simple
gourbon,,,,,pseudo_long_simple
gouvoie,,,,,pseudo_long_simple
greille,,,,,pseudo_long_simple
hôpitat,,,,,pseudo_long_simple
orenade,,,,,pseudo_long_simple
serpeau,,,,,pseudo_long_simple
voudron,,,,,pseudo_long_simple
vourage,,,,,pseudo_long_simple
vourbon,,,,,pseudo_long_simple
absiette,,,,,pseudo_long_simple
absietti,,,,,pseudo_long_simple
agrisson,,,,,pseudo_long_simple
amalange,,,,,pseudo_long_simple
assietti,,,,,pseudo_long_simple
assinthe,,,,,pseudo_long_simple
carruque,,,,,pseudo_long_simple
chalange,,,,,pseudo_long_simple
chalgame,,,,,pseudo_long_simple
chocoeur,,,,,pseudo_long_simple
confette,,,,,pseudo_long_simple
courmand,,,,,pseudo_long_simple
courmant,,,,,pseudo_long_simple
couvette,,,,,pseudo_long_simple
couvetti,,,,,pseudo_long_simple
creverte,,,,,pseudo_long_simple
crevetti,,,,,pseudo_long_simple
elephand,,,,,pseudo_long_simple
gourmant,,,,,pseudo_long_simple
gouverte,,,,,pseudo_long_simple
gouvette,,,,,pseudo_long_simple
héricole,,,,,pseudo_long_simple
perrosse,,,,,pseudo_long_simple
phalgame,,,,,pseudo_long_simple
phapitre,,,,,pseudo_long_simple
rancolat,,,,,pseudo_long_simple
acquessus,,,,,pseudo_long_simple
acquestal,,,,,pseudo_long_simple
acquestre,,,,,pseudo_long_simple
acquieste,,,,,pseudo_long_simple
aubellite,,,,,pseudo_long_simple
aubellule,,,,,pseudo_long_simple
bourgerou,,,,,pseudo_long_simple
boussière,,,,,pseudo_long_simple
consenlit,,,,,pseudo_long_simple
crocessus,,,,,pseudo_long_simple
crocestal,,,,,pseudo_long_simple
crocestre,,,,,pseudo_long_simple
dingembre,,,,,pseudo_long_simple
dingouron,,,,,pseudo_long_simple
dingourou,,,,,pseudo_long_simple
dingouste,,,,,pseudo_long_simple
dinoscope,,,,,pseudo_long_simple
gingouron,,,,,pseudo_long_simple
gingourou,,,,,pseudo_long_simple
gingouste,,,,,pseudo_long_simple
ginosaure,,,,,pseudo_long_simple
ginoscope,,,,,pseudo_long_simple
horosaure,,,,,pseudo_long_simple
hurricite,,,,,pseudo_long_simple
kangembre,,,,,pseudo_long_simple
kangouron,,,,,pseudo_long_simple
kangouste,,,,,pseudo_long_simple
kanifesça,,,,,pseudo_long_simple
kanifeste,,,,,pseudo_long_simple
langembre,,,,,pseudo_long_simple
langouron,,,,,pseudo_long_simple
langourou,,,,,pseudo_long_simple
lanifesça,,,,,pseudo_long_simple
lanifeste,,,,,pseudo_long_simple
libellite,,,,,pseudo_long_simple
libergine,,,,,pseudo_long_simple
mangembre,,,,,pseudo_long_simple
mangouron,,,,,pseudo_long_simple
mangourou,,,,,pseudo_long_simple
manifesça,,,,,pseudo_long_simple
orchessus,,,,,pseudo_long_simple
orchestal,,,,,pseudo_long_simple
piédessus,,,,,pseudo_long_simple
piédestre,,,,,pseudo_long_simple
pissensus,,,,,pseudo_long_simple
pourgeron,,,,,pseudo_long_simple
pourgerou,,,,,pseudo_long_simple
pourgogne,,,,,pseudo_long_simple
procestal,,,,,pseudo_long_simple
procestre,,,,,pseudo_long_simple
procodile,,,,,pseudo_long_simple
satellule,,,,,pseudo_long_simple
séquessus,,,,,pseudo_long_simple
séquestal,,,,,pseudo_long_simple
séquiesça,,,,,pseudo_long_simple
séquieste,,,,,pseudo_long_simple
sollicane,,,,,pseudo_long_simple
justial,,,,,pseudo_long_complex
étoilet,,,,,pseudo_long_complex
billons,,,,,pseudo_long_complex
baladie,,,,,pseudo_long_complex
spatice,,,,,pseudo_long_complex
mallons,,,,,pseudo_long_complex
défonnu,,,,,pseudo_long_complex
tortail,,,,,pseudo_long_complex
billeau,,,,,pseudo_long_complex
inconce,,,,,pseudo_long_complex
portues,,,,,pseudo_long_complex
balleau,,,,,pseudo_long_complex
mallets,,,,,pseudo_long_complex
roulets,,,,,pseudo_long_complex
malleau,,,,,pseudo_long_complex
instagne,,,,,pseudo_long_complex
sécision,,,,,pseudo_long_complex
vrançais,,,,,pseudo_long_complex
sucetons,,,,,pseudo_long_complex
uniffres,,,,,pseudo_long_complex
fraiment,,,,,pseudo_long_complex
chiforme,,,,,pseudo_long_complex
céréalet,,,,,pseudo_long_complex
chevales,,,,,pseudo_long_complex
décurité,,,,,pseudo_long_complex
montable,,,,,pseudo_long_complex
contrance,,,,,pseudo_long_complex
inforrent,,,,,pseudo_long_complex
incortune,,,,,pseudo_long_complex
contiment,,,,,pseudo_long_complex
sentraire,,,,,pseudo_long_complex
bournevis,,,,,pseudo_long_complex
bournesol,,,,,pseudo_long_complex
assuraire,,,,,pseudo_long_complex
récompose,,,,,pseudo_long_complex
touteille,,,,,pseudo_long_complex
déconfort,,,,,pseudo_long_complex
déconford,,,,,pseudo_long_complex
désaccort,,,,,pseudo_long_complex
décorrent,,,,,pseudo_long_complex
incouvert,,,,,pseudo_long_complex
recompoir,,,,,pseudo_long_complex
incompose,,,,,pseudo_long_complex
sentrance,,,,,pseudo_long_complex
incorrent,,,,,pseudo_long_complex
inconford,,,,,pseudo_long_complex
désespose,,,,,pseudo_long_complex
récompoir,,,,,pseudo_long_complex
différect,,,,,pseudo_long_complex
récouvert,,,,,pseudo_long_complex
récorrent,,,,,pseudo_long_complex
réconford,,,,,pseudo_long_complex
recorrect,,,,,pseudo_long_complex
décortune,,,,,pseudo_long_complex
décorrect,,,,,pseudo_long_complex
récortune,,,,,pseudo_long_complex
recortune,,,,,pseudo_long_complex
reconford,,,,,pseudo_long_complex
décompoir,,,,,pseudo_long_complex
reconfort,,,,,pseudo_long_complex
inforrect,,,,,pseudo_long_complex
incompoir,,,,,pseudo_long_complex
recorrent,,,,,pseudo_long_complex
