Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
puberté,N,24.12177986,7.0,0-1-0,réel_basse_long_simple
muscade,N,24.82435597,7.0,0-1-0,réel_basse_long_simple
vouvoie,V,26.58079625,7.0,0-1-0,réel_basse_long_simple
courage,N,30.67915691,7.0,0-1-0,réel_basse_long_simple
papillon,N,3.89,8.0,0-1-0,réel_basse_long_simple
hérisson,N,3.16,8.0,0-1-0,réel_basse_long_simple
pingouin,N,3.2,8.0,0-1-0,réel_basse_long_simple
elephant,N,4.27,8.0,0-1-0,réel_basse_long_simple
aiguille,N,3.9,8.0,0-1-0,réel_basse_long_simple
pyramide,N,21.77985948,8.0,0-1-0,réel_basse_long_simple
couverte,adj,23.30210773,8.0,0-1-0,réel_basse_long_simple
carrosse,N,21.31147541,8.0,0-1-0,réel_basse_long_simple
crevette,N,19.67213115,8.0,0-1-0,réel_basse_long_simple
rancoeur,N,18.96955504,8.0,0-1-0,réel_basse_long_simple
chapitre,N,19.90632319,8.0,0-1-0,réel_basse_long_simple
prouesse,N,27.16627635,8.0,0-1-0,réel_basse_long_simple
absinthe,N,19.43793911,8.0,0-1-0,réel_basse_long_simple
atteinte,N,18.735363,8.0,0-1-0,réel_basse_long_simple
prothèse,N,29.74238876,8.0,0-1-0,réel_basse_long_simple
aubergine,N,2.91,9.0,0-1-0,réel_basse_long_simple
kangourou,N,3.08,9.0,0-1-0,réel_basse_long_simple
horoscope,N,27.40046838,9.0,0-1-0,réel_basse_long_simple
hurricane,N,22.24824356,9.0,0-1-0,réel_basse_long_simple
crocodile,N,18.03278689,9.0,0-1-0,réel_basse_long_simple
chirurgie,N,17.79859485,9.0,0-1-0,réel_basse_long_simple
orchestre,N,17.56440281,9.0,0-1-0,réel_basse_long_simple
cacahuète,N,17.33021077,9.0,0-1-0,réel_basse_long_simple
langouste,N,15.45667447,9.0,0-1-0,réel_basse_long_simple
pharmacie,N,14.28571429,9.0,0-1-0,réel_basse_long_simple
avalanche,N,14.05152225,9.0,0-1-0,réel_basse_long_simple
libellule,N,13.23185012,9.0,0-1-0,réel_basse_long_simple
satellite,N,13.23185012,9.0,0-1-0,réel_basse_long_simple
dinosaure,N,12.41217799,9.0,0-1-0,réel_basse_long_simple
cauchemar,N,7.259953162,9.0,0-1-0,réel_basse_long_simple
rouleau,N,3.77,7.0,0-1-1,réel_basse_long_complexe
sifflet,N,3.39,7.0,0-1-1,réel_basse_long_complexe
amandes,N,3.37,7.0,0-1-1,réel_basse_long_complexe
flèches,N,3.72,7.0,0-1-1,réel_basse_long_complexe
bougies,N,3.75,7.0,0-1-1,réel_basse_long_complexe
ballons,N,3.82,7.0,0-1-1,réel_basse_long_complexe
briques,N,3.86,7.0,0-1-1,réel_basse_long_complexe
indigne,Adj,3.79,7.0,1-1-0,réel_basse_long_complexe
imprévu,adj,3.35,7.0,1-1-0,réel_basse_long_complexe
défonce,V,3.41,7.0,1-1-0,réel_basse_long_complexe
coopère,V,2.86,7.0,1-1-0,réel_basse_long_complexe
