Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
2,barils,N,3.32,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
3,galets,N,3.3,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
4,bûches,N,2.86,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
5,gommes,N,2.83,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
6,figues,N,3.07,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
7,bulles,N,3.78,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
8,mortel,Adj,3.93,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
9,postal,adj,3.58,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
10,dégoût,N,3.59,6.0,1-1-0,réel_basse_court_complexe,,,,,,,
11,inapte,Adj,2.98,6.0,1-1-0,réel_basse_court_complexe,,,,,,,
12,détour,N,3.91,6.0,1-1-0,réel_basse_court_complexe,,,,,,,
13,irréel,Adj,3.09,6.0,1-1-0,réel_basse_court_complexe,,,,,,,
14,surnom,N,3.95,6.0,1-1-0,réel_basse_court_complexe,,,,,,,
15,pourvu,V,3.85,6.0,0-1-1,réel_basse_court_complexe,,,,,,,
1,amphore,N,2.47,7.0,0-1-0,réel_basse_long_simple,,,,,,,
2,cadenas,N,3.39,7.0,0-1-0,réel_basse_long_simple,,,,,,,
3,grenade,N,3.9,7.0,0-1-0,réel_basse_long_simple,,,,,,,
4,écharpe,N,3.61,7.0,0-1-0,réel_basse_long_simple,,,,,,,
5,briquet,N,3.33,7.0,0-1-0,réel_basse_long_simple,,,,,,,
6,chameau,N,3.32,7.0,0-1-0,réel_basse_long_simple,,,,,,,
7,tambour,N,3.65,7.0,0-1-0,réel_basse_long_simple,,,,,,,
8,robinet,N,3.75,7.0,0-1-0,réel_basse_long_simple,,,,,,,
9,hôpital,N,30.09367681,7.0,0-1-0,réel_basse_long_simple,,,,,,,
10,horizon,N,29.27400468,7.0,0-1-0,réel_basse_long_simple,,,,,,,
11,murmure,N/V,25.76112412,7.0,0-1-0,réel_basse_long_simple,,,,,,,
12,puberté,N,24.12177986,7.0,0-1-0,réel_basse_long_simple,,,,,,,
13,muscade,N,24.82435597,7.0,0-1-0,réel_basse_long_simple,,,,,,,
14,vouvoie,V,26.58079625,7.0,0-1-0,réel_basse_long_simple,,,,,,,
15,courage,N,30.67915691,7.0,0-1-0,réel_basse_long_simple,,,,,,,
1,papillon,N,3.89,8.0,0-1-0,réel_basse_long_simple,,,,,,,
2,hérisson,N,3.16,8.0,0-1-0,réel_basse_long_simple,,,,,,,
3,pingouin,N,3.2,8.0,0-1-0,réel_basse_long_simple,,,,,,,
4,elephant,N,4.27,8.0,0-1-0,réel_basse_long_simple,,,,,,,
5,aiguille,N,3.9,8.0,0-1-0,réel_basse_long_simple,,,,,,,
6,pyramide,N,21.77985948,8.0,0-1-0,réel_basse_long_simple,,,,,,,
7,couverte,adj,23.30210773,8.0,0-1-0,réel_basse_long_simple,,,,,,,
8,carrosse,N,21.31147541,8.0,0-1-0,réel_basse_long_simple,,,,,,,
9,crevette,N,19.67213115,8.0,0-1-0,réel_basse_long_simple,,,,,,,
10,rancoeur,N,18.96955504,8.0,0-1-0,réel_basse_long_simple,,,,,,,
11,chapitre,N,19.90632319,8.0,0-1-0,réel_basse_long_simple,,,,,,,
12,prouesse,N,27.16627635,8.0,0-1-0,réel_basse_long_simple,,,,,,,
13,absinthe,N,19.43793911,8.0,0-1-0,réel_basse_long_simple,,,,,,,
14,atteinte,N,18.735363,8.0,0-1-0,réel_basse_long_simple,,,,,,,
15,prothèse,N,29.74238876,8.0,0-1-0,réel_basse_long_simple,,,,,,,
1,aubergine,N,2.91,9.0,0-1-0,réel_basse_long_simple,,,,,,,
2,kangourou,N,3.08,9.0,0-1-0,réel_basse_long_simple,,,,,,,
3,horoscope,N,27.40046838,9.0,0-1-0,réel_basse_long_simple,,,,,,,
4,hurricane,N,22.24824356,9.0,0-1-0,réel_basse_long_simple,,,,,,,
5,crocodile,N,18.03278689,9.0,0-1-0,réel_basse_long_simple,,,,,,,
6,chirurgie,N,17.79859485,9.0,0-1-0,réel_basse_long_simple,,,,,,,
7,orchestre,N,17.56440281,9.0,0-1-0,réel_basse_long_simple,,,,,,,
8,cacahuète,N,17.33021077,9.0,0-1-0,réel_basse_long_simple,,,,,,,
9,langouste,N,15.45667447,9.0,0-1-0,réel_basse_long_simple,,,,,,,
10,pharmacie,N,14.28571429,9.0,0-1-0,réel_basse_long_simple,,,,,,,
11,avalanche,N,14.05152225,9.0,0-1-0,réel_basse_long_simple,,,,,,,
12,libellule,N,13.23185012,9.0,0-1-0,réel_basse_long_simple,,,,,,,
13,satellite,N,13.23185012,9.0,0-1-0,réel_basse_long_simple,,,,,,,
14,dinosaure,N,12.41217799,9.0,0-1-0,réel_basse_long_simple,,,,,,,
15,cauchemar,N,7.259953162,9.0,0-1-0,réel_basse_long_simple,,,,,,,
1,rouleau,N,3.77,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
2,sifflet,N,3.39,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
3,amandes,N,3.37,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
4,flèches,N,3.72,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
5,bougies,N,3.75,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
6,ballons,N,3.82,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
7,briques,N,3.86,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
8,indigne,Adj,3.79,7.0,1-1-0,réel_basse_long_complexe,,,,,,,
9,imprévu,adj,3.35,7.0,1-1-0,réel_basse_long_complexe,,,,,,,
10,défonce,V,3.41,7.0,1-1-0,réel_basse_long_complexe,,,,,,,
11,coopère,V,2.86,7.0,1-1-0,réel_basse_long_complexe,,,,,,,
12,orbital,Adj,2.84,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
13,tortues,N,3.55,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
14,spatial,adj,3.79,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
15,rocheux,adj,3.21,7.0,0-1-1,réel_basse_long_complexe,,,,,,,
1,cerveaux,N,3.61,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
2,bouchons,N,3.73,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
3,berceau,N,3.78,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
4,canetons,N,2.23,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
5,chevalet,N,2.98,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
6,passoire,N,2.99,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
7,sucettes,N,2.79,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
8,immobile,adj,3.53,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
9,instable,adj,3.71,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
10,infidèle,adj,3.43,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
11,désordre,N,3.83,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
12,recourir,V,3.8,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
13,déplaire,V,3.28,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
14,surpasse,V,3.24,8.0,1-1-0,réel_basse_long_complexe,,,,,,,
15,envoient,V,3.87,8.0,0-1-1,réel_basse_long_complexe,,,,,,,
1,allumette,N,2.84,9.0,0-1-1,réel_basse_long_complexe,,,,,,,
2,tournevis,N,3.18,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
3,parapluie,N,3.52,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
4,bracelets,N,3.6,9.0,0-1-1,réel_basse_long_complexe,,,,,,,
5,baguettes,N,3.41,9.0,0-1-1,réel_basse_long_complexe,,,,,,,
6,tournesol,N,3.25,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
7,disquette,N,2.98,9.0,0-1-1,réel_basse_long_complexe,,,,,,,
8,désespoir,N,3.89,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
9,indiscret,adj,3.11,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
10,réconfort,N,3.52,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
