Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
alincère,PLC,8,alincère_MALE_G.wav,Audio,Speech,5.0
cireux,RSLC,6,cireux_FEMALE_C.wav,Audio,Speech,5.0
gariplete,PLS,9,gariplete_FEMALE_C.wav,Audio,Speech,5.0
genièvre,RLLS,8,genièvre_FEMALE_C.wav,Audio,Speech,4.0
effala,PSS,6,effala_MALE_G.wav,Audio,Speech,4.5
forcément,RLHC,9,forcément_MALE_G.wav,Audio,Speech,5.0
actif,RSHC,5,actif_FEMALE_C.wav,Audio,Speech,5.5
facile,RSHS,6,facile_MALE_G.wav,Audio,Speech,6.0
cliard,PSC,6,cliard_MALE_G.wav,Audio,Speech,5.5
crème,RSHS,5,crème_MALE_G.wav,Audio,Speech,5.5
écrevisse,RLLS,9,écrevisse_FEMALE_C.wav,Audio,Speech,4.0
vitré,RSLC,5,vitré _MALE_G.wav,Audio,Speech,5.0
beauté,RSHC,6,beauté_FEMALE_C.wav,Audio,Speech,4.5
rancolat,PLS,8,rancolat_MALE_G.wav,Audio,Speech,6.0
poursuit,RLHC,8,poursuit_FEMALE_C.wav,Audio,Speech,6.0
incompoir,PLC,9,incompoir_FEMALE_C.wav,Audio,Speech,5.0
eczéma,RSLS,6,eczéma_MALE_G.wav,Audio,Speech,5.5
surestimé,RLLC,9,surestimé_FEMALE_C.wav,Audio,Speech,4.0
morse,RSLS,5,morse_FEMALE_C.wav,Audio,Speech,4.5
victoire,RLHS,8,victoire_FEMALE_C.wav,Audio,Speech,4.0
hueur,PSC,5,hueur_FEMALE_C.wav,Audio,Speech,5.0
sapis,PSS,5,sapis_MALE_G.wav,Audio,Speech,4.5
tatoueur,RLLC,8,tatoueur_MALE_G.wav,Audio,Speech,6.0
satellite,RLHS,9,satellite_MALE_G.wav,Audio,Speech,5.0
