Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
jardin,RSHS,6,,Visual,Type,9.0
décrypter,RLLC,9,,Visual,Type,10.0
blasphème,RLLS,9,,Visual,Type,11.0
rentonice,PLC,9,,Visual,Type,11.0
vidéo,RSHS,5,,Visual,Type,10.5
déforion,PLC,8,,Visual,Type,11.0
unité,RSHC,5,,Visual,Type,9.0
humanité,RLHC,8,,Visual,Type,10.0
marathon,RLHS,8,,Visual,Type,10.0
vithe,PSS,5,,Visual,Type,10.0
irisé,RSLC,5,,Visual,Type,9.5
également,RLHC,9,,Visual,Type,9.5
évandesin,PLS,9,,Visual,Type,10.0
clueur,PSC,6,,Visual,Type,9.5
seringue,RLLS,8,,Visual,Type,10.0
indien,RSHC,6,,Visual,Type,9.5
englué,RSLC,6,,Visual,Type,9.0
pacheril,PLS,8,,Visual,Type,10.5
étoda,PSC,5,,Visual,Type,11.0
caractère,RLHS,9,,Visual,Type,10.5
détraqué,RLLC,8,,Visual,Type,10.0
gnome,RSLS,5,,Visual,Type,10.0
berlue,PSS,6,,Visual,Type,9.0
légume,RSLS,6,,Visual,Type,10.5
