Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
nuage,RSHS,5,,Visual,Speech,5.0
esclandre,RLLS,9,,Visual,Speech,4.5
surpu,PSC,5,,Visual,Speech,5.0
trude,PSS,5,,Visual,Speech,5.0
indiscret,RLLC,9,,Visual,Speech,4.0
industrie,RLHS,9,,Visual,Speech,6.0
moulin,RSHS,6,,Visual,Speech,4.0
nacule,PSS,6,,Visual,Speech,5.0
nonlexie,PLC,8,,Visual,Speech,4.0
aérée,RSLC,5,,Visual,Speech,4.5
pulpeuse,RLLC,8,,Visual,Speech,5.5
rôdeur,RSLC,6,,Visual,Speech,5.5
téralemet,PLS,9,,Visual,Speech,6.0
ignorance,RLHC,9,,Visual,Speech,5.0
persil,RSLS,6,,Visual,Speech,5.0
emeraude,RLLS,8,,Visual,Speech,5.0
culturel,RLHC,8,,Visual,Speech,5.5
cirlement,PLC,9,,Visual,Speech,4.5
dèche,RSLS,5,,Visual,Speech,6.0
vélolé,PSC,6,,Visual,Speech,6.0
idéal,RSHC,5,,Visual,Speech,5.5
scandale,RLHS,8,,Visual,Speech,5.0
sûreté,RSHC,6,,Visual,Speech,4.5
fribuste,PLS,8,,Visual,Speech,4.0
