Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
nectar,RSLS,6,,Visual,Write,9.5
matraque,RLLS,8,,Visual,Write,10.5
kangourou,RLLS,9,,Visual,Write,10.0
élimé,RSLC,5,,Visual,Write,10.0
diole,PSS,5,,Visual,Write,9.5
lacèle,PSS,6,,Visual,Write,9.5
tarif,RSHS,5,,Visual,Write,10.5
frontière,RLHS,9,,Visual,Write,10.0
tueur,RSHC,5,,Visual,Write,11.0
hargneuse,RLLC,9,,Visual,Write,10.0
révoutir,PLC,8,,Visual,Write,9.0
inapte,RSLC,6,,Visual,Write,11.0
tartifuge,PLS,9,,Visual,Write,10.5
maloriste,PLC,9,,Visual,Write,10.0
survie,RSHC,6,,Visual,Write,11.0
cèdre,RSLS,5,,Visual,Write,10.5
soleil,RSHS,6,,Visual,Write,11.0
slagé,PSC,5,,Visual,Write,9.0
complexe,RLHS,8,,Visual,Write,9.0
héricole,PLS,8,,Visual,Write,10.0
inhabité,RLLC,8,,Visual,Write,10.0
historien,RLHC,9,,Visual,Write,9.5
dénoya,PSC,6,,Visual,Write,9.0
noblesse,RLHC,8,,Visual,Write,10.0
