Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
deuxième,RLHC,8,,Visual,Speech,5.0
jaren,PSS,5,,Visual,Speech,4.0
intellect,RLLS,9,,Visual,Speech,5.0
nageur,RSLC,6,,Visual,Speech,5.5
grillagée,RLLC,9,,Visual,Speech,4.0
catalogue,RLHS,9,,Visual,Speech,4.0
frime,RSLS,5,,Visual,Speech,5.0
problème,RLHS,8,,Visual,Speech,6.0
duage,PSC,5,,Visual,Speech,5.0
confetti,RLLS,8,,Visual,Speech,5.0
génial,RSHC,6,,Visual,Speech,6.0
carichier,PLC,9,,Visual,Speech,5.0
bransier,PLC,8,,Visual,Speech,4.5
fleur,RSHS,5,,Visual,Speech,5.5
usage,RSHC,5,,Visual,Speech,5.5
salivant,RLLC,8,,Visual,Speech,4.0
aubedulle,PLS,9,,Visual,Speech,6.0
lodeur,PSC,6,,Visual,Speech,5.5
doucement,RLHC,9,,Visual,Speech,5.0
ancré,RSLC,5,,Visual,Speech,4.5
roupiote,PLS,8,,Visual,Speech,4.5
poulpe,RSLS,6,,Visual,Speech,6.0
propre,RSHS,6,,Visual,Speech,5.0
otalie,PSS,6,,Visual,Speech,4.5
