Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
glonable,PLC,8,glonable_MALE_G.wav,Audio,Write,10.5
mielleux,RLLC,8,mielleux_FEMALE_C.wav,Audio,Write,10.0
duage,PSC,5,duage_FEMALE_C.wav,Audio,Write,10.5
nacre,RSLS,5,nacre_FEMALE_C.wav,Audio,Write,9.0
actif,RSHC,5,actif_FEMALE_C.wav,Audio,Write,9.0
vithe,PSS,5,vithe_MALE_G.wav,Audio,Write,10.0
marathon,RLHS,8,marathon_MALE_G.wav,Audio,Write,9.5
poursuit,RLHC,8,poursuit_MALE_G.wav,Audio,Write,11.0
cireux,RSLC,6,cireux_FEMALE_C.wav,Audio,Write,11.0
siège,RSHS,5,siège_MALE_G.wav,Audio,Write,10.0
supplice,RLLS,8,supplice_MALE_G.wav,Audio,Write,9.5
carluque,PLS,8,carluque_FEMALE_C.wav,Audio,Write,10.0
roduillon,PLS,9,roduillon_FEMALE_C.wav,Audio,Speech,4.5
matraque,RLLS,8,matraque_MALE_G.wav,Audio,Speech,5.0
frontière,RLHS,9,frontière_FEMALE_C.wav,Audio,Speech,5.0
marmot,RSLS,6,marmot_MALE_G.wav,Audio,Speech,5.5
deuxième,RLHC,8,deuxième_FEMALE_C.wav,Audio,Speech,4.0
surestimé,RLLC,9,surestimé_FEMALE_C.wav,Audio,Speech,5.5
jardin,RSHS,6,jardin_FEMALE_C.wav,Audio,Speech,5.0
hueur,PSC,5,hueur_FEMALE_C.wav,Audio,Speech,4.0
surgalir,PLC,8,surgalir_FEMALE_C.wav,Audio,Speech,5.0
vitré,RSLC,5,vitré _MALE_G.wav,Audio,Speech,6.0
nèche,PSS,5,nèche_FEMALE_C.wav,Audio,Speech,6.0
remise,RSHC,6,remise_MALE_G.wav,Audio,Speech,4.5
emeraude,RLLS,8,,Visual,Write,9.0
aubedulle,PLS,9,,Visual,Write,10.5
diole,PSS,5,,Visual,Write,10.0
exhara,PSC,6,,Visual,Write,10.0
culturel,RLHC,8,,Visual,Write,10.5
élimé,RSLC,5,,Visual,Write,11.0
érogieuse,PLC,9,,Visual,Write,10.0
tolérable,RLLC,9,,Visual,Write,9.5
sûreté,RSHC,6,,Visual,Write,10.0
religion,RLHS,8,,Visual,Write,9.5
argent,RSHS,6,,Visual,Write,9.0
gnome,RSLS,5,,Visual,Write,11.0
spaghetti,RLLS,9,,Visual,Speech,5.0
ritourque,PLS,9,,Visual,Speech,4.5
usité,RSLC,5,,Visual,Speech,6.0
rudement,RLLC,8,,Visual,Speech,5.0
satellite,RLHS,9,,Visual,Speech,5.0
apleté,PSC,6,,Visual,Speech,4.5
diversité,RLHC,9,,Visual,Speech,5.0
carpe,RSLS,5,,Visual,Speech,5.5
facile,RSHS,6,,Visual,Speech,4.0
marim,PSS,5,,Visual,Speech,5.5
idéal,RSHC,5,,Visual,Speech,6.0
révoutir,PLC,8,,Visual,Speech,4.0
