Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
slagé,PSC,5,slagé_MALE_G.wav,Audio,Write,10.5
réuni,RSHC,5,réuni_FEMALE_C.wav,Audio,Write,10.0
intellect,RLLS,9,intellect_FEMALE_C.wav,Audio,Write,11.0
victoire,RLHS,8,victoire_MALE_G.wav,Audio,Write,10.0
tolérable,RLLC,9,tolérable_FEMALE_C.wav,Audio,Write,9.0
fleur,RSHS,5,fleur_FEMALE_C.wav,Audio,Write,9.0
cirlement,PLC,9,cirlement_FEMALE_C.wav,Audio,Write,10.0
sonsuaine,PLS,9,sonsuaine_MALE_G.wav,Audio,Write,9.5
effala,PSS,6,effala_FEMALE_C.wav,Audio,Write,11.0
cireux,RSLC,6,cireux_MALE_G.wav,Audio,Write,9.5
découvert,RLHC,9,découvert_FEMALE_C.wav,Audio,Write,10.5
nacre,RSLS,5,nacre_MALE_G.wav,Audio,Write,10.0
frontière,RLHS,9,frontière_FEMALE_C.wav,Audio,Speech,5.0
morse,RSLS,5,morse_MALE_G.wav,Audio,Speech,4.5
érogieuse,PLC,9,érogieuse_FEMALE_C.wav,Audio,Speech,5.0
feque,PSS,5,feque_MALE_G.wav,Audio,Speech,6.0
invisible,RLHC,9,invisible_MALE_G.wav,Audio,Speech,4.0
pulpeuse,RLLC,8,pulpeuse_MALE_G.wav,Audio,Speech,5.0
emeraude,RLLS,8,emeraude_FEMALE_C.wav,Audio,Speech,6.0
rachat,RSHC,6,rachat_MALE_G.wav,Audio,Speech,5.0
argent,RSHS,6,argent_FEMALE_C.wav,Audio,Speech,4.0
gariplete,PLS,9,gariplete_MALE_G.wav,Audio,Speech,5.5
enfui,RSLC,5,enfui_FEMALE_C.wav,Audio,Speech,4.5
exhara,PSC,6,exhara_MALE_G.wav,Audio,Speech,5.5
sûreté,RSHC,6,,Visual,Write,9.0
genièvre,RLLS,8,,Visual,Write,10.0
étudiant,RLHC,8,,Visual,Write,10.5
jardin,RSHS,6,,Visual,Write,9.5
plantissé,PLC,9,,Visual,Write,9.5
duage,PSC,5,,Visual,Write,10.5
plivie,PSS,6,,Visual,Write,10.0
nageur,RSLC,6,,Visual,Write,10.0
bulbe,RSLS,5,,Visual,Write,10.0
luisante,RLLC,8,,Visual,Write,11.0
carluque,PLS,8,,Visual,Write,11.0
complexe,RLHS,8,,Visual,Write,9.0
lodeur,PSC,6,,Visual,Speech,5.5
tarif,RSHS,5,,Visual,Speech,6.0
ignorance,RLHC,9,,Visual,Speech,6.0
rasage,RSLC,6,,Visual,Speech,5.0
revue,RSHC,5,,Visual,Speech,4.5
poulpe,RSLS,6,,Visual,Speech,4.5
chocolat,RLHS,8,,Visual,Speech,4.0
surestimé,RLLC,9,,Visual,Speech,5.0
roduillon,PLS,9,,Visual,Speech,5.0
kangourou,RLLS,9,,Visual,Speech,5.5
sapis,PSS,5,,Visual,Speech,4.0
nonlexie,PLC,8,,Visual,Speech,5.0
