Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
ancré,RSLC,5,ancré_FEMALE_C.wav,Audio,Write,9.0
satellite,RLHS,9,satellite_FEMALE_C.wav,Audio,Write,9.0
fierté,RSHC,6,fierté_FEMALE_C.wav,Audio,Write,11.0
doucement,RLHC,9,doucement_MALE_G.wav,Audio,Write,10.0
carluque,PLS,8,carluque_MALE_G.wav,Audio,Write,9.5
enjot,PSC,5,enjot_MALE_G.wav,Audio,Write,10.5
salpêtre,RLLS,8,salpêtre_FEMALE_C.wav,Audio,Write,10.0
bulbe,RSLS,5,bulbe_FEMALE_C.wav,Audio,Write,9.5
fleur,RSHS,5,fleur_MALE_G.wav,Audio,Write,10.0
clide,PSS,5,clide_FEMALE_C.wav,Audio,Write,10.0
carichier,PLC,9,carichier_FEMALE_C.wav,Audio,Write,11.0
luisante,RLLC,8,luisante_MALE_G.wav,Audio,Write,10.5
annuel,RSHC,6,annuel_FEMALE_C.wav,Audio,Speech,5.0
carpe,RSLS,5,carpe_FEMALE_C.wav,Audio,Speech,5.5
écrevisse,RLLS,9,écrevisse_FEMALE_C.wav,Audio,Speech,6.0
neunièle,PLS,8,neunièle_MALE_G.wav,Audio,Speech,4.5
séquence,RLHS,8,séquence_MALE_G.wav,Audio,Speech,5.5
salivant,RLLC,8,salivant_FEMALE_C.wav,Audio,Speech,6.0
poursuit,RLHC,8,poursuit_MALE_G.wav,Audio,Speech,4.0
slagé,PSC,5,slagé_MALE_G.wav,Audio,Speech,5.0
rôdeur,RSLC,6,rôdeur_MALE_G.wav,Audio,Speech,4.0
érogieuse,PLC,9,érogieuse_MALE_G.wav,Audio,Speech,5.0
tésin,PSS,6,tésin_MALE_G.wav,Audio,Speech,4.5
tapis,RSHS,5,tapis_FEMALE_C.wav,Audio,Speech,5.0
inhabité,RLLC,8,,Visual,Write,10.5
culturel,RLHC,8,,Visual,Write,9.5
emeraude,RLLS,8,,Visual,Write,9.5
soleil,RSHS,6,,Visual,Write,11.0
vithe,PSS,5,,Visual,Write,9.0
chalgame,PLS,8,,Visual,Write,10.0
remet,RSHC,5,,Visual,Write,10.0
commerce,RLHS,8,,Visual,Write,10.0
nonlexie,PLC,8,,Visual,Write,10.0
étoda,PSC,5,,Visual,Write,10.5
sphinx,RSLS,6,,Visual,Write,9.0
hâtif,RSLC,5,,Visual,Write,11.0
arcove,PSS,6,,Visual,Speech,5.0
désac,PSC,5,,Visual,Speech,4.5
noblesse,RLHC,8,,Visual,Speech,6.0
poulpe,RSLS,6,,Visual,Speech,6.0
actif,RSHC,5,,Visual,Speech,5.0
maloriste,PLC,9,,Visual,Speech,5.5
détraqué,RLLC,8,,Visual,Speech,5.0
étiquette,RLHS,9,,Visual,Speech,4.0
cireux,RSLC,6,,Visual,Speech,4.0
blasphème,RLLS,9,,Visual,Speech,5.5
tartifuge,PLS,9,,Visual,Speech,4.5
viande,RSHS,6,,Visual,Speech,5.0
