Word,Condition,Audio_Male,Audio_Female
daily,RSHC,daily_MALE_D.wav,daily_FEMALE_C.wav
actor,RSHC,actor_MALE_D.wav,actor_FEMALE_C.wav
writes,RSHC,writes_MALE_D.wav,writes_FEMALE_C.wav
across,RSHC,across_MALE_D.wav,across_FEMALE_C.wav
trains,RSHC,trains_MALE_D.wav,trains_FEMALE_C.wav
worn,RSHC,worn_MALE_D.wav,worn_FEMALE_C.wav
user,RSHC,user_MALE_D.wav,user_FEMALE_C.wav
unit,RSHC,unit_MALE_D.wav,unit_FEMALE_C.wav
easy,RSHC,easy_MALE_D.wav,easy_FEMALE_C.wav
lets,RSHC,lets_MALE_D.wav,lets_FEMALE_C.wav
stars,RSHC,stars_MALE_D.wav,stars_FEMALE_C.wav
deaths,RSHC,deaths_MALE_D.wav,deaths_FEMALE_C.wav
boats,RSHC,boats_MALE_D.wav,boats_FEMALE_C.wav
lived,RSHC,lived_MALE_D.wav,lived_FEMALE_C.wav
disinherit,RLLC,disinherit_MALE_D.wav,disinherit_FEMALE_C.wav
invigorate,RLLC,invigorate_MALE_D.wav,invigorate_FEMALE_C.wav
scepticism,RLLC,scepticism_MALE_D.wav,scepticism_FEMALE_C.wav
vengefully,RLLC,vengefully_MALE_D.wav,vengefully_FEMALE_C.wav
allurement,RLLC,allurement_MALE_D.wav,allurement_FEMALE_C.wav
translator,RLHC,translator_MALE_D.wav,translator_FEMALE_C.wav
impossible,RLHC,impossible_MALE_D.wav,impossible_FEMALE_C.wav
disclosure,RLHC,disclosure_MALE_D.wav,disclosure_FEMALE_C.wav
theatrical,RLHC,theatrical_MALE_D.wav,theatrical_FEMALE_C.wav
vertically,RLHC,vertically_MALE_D.wav,vertically_FEMALE_C.wav
understand,RLHS,understand_MALE_D.wav,understand_FEMALE_C.wav
experience,RLHS,experience_MALE_D.wav,experience_FEMALE_C.wav
discipline,RLHS,discipline_MALE_D.wav,discipline_FEMALE_C.wav
phenomenon,RLHS,phenomenon_MALE_D.wav,phenomenon_FEMALE_C.wav
restaurant,RLHS,restaurant_MALE_D.wav,restaurant_FEMALE_C.wav
chinchilla,RLLS,chinchilla_MALE_D.wav,chinchilla_FEMALE_C.wav
shenanigan,RLLS,shenanigan_MALE_D.wav,shenanigan_FEMALE_C.wav
leprechaun,RLLS,leprechaun_MALE_D.wav,leprechaun_FEMALE_C.wav
hieroglyph,RLLS,hieroglyph_MALE_D.wav,hieroglyph_FEMALE_C.wav
palindrome,RLLS,palindrome_MALE_D.wav,palindrome_FEMALE_C.wav
unkinter,PLC,unkinter_MALE_D.wav,unkinter_FEMALE_C.wav
dishaven,PLC,dishaven_MALE_D.wav,dishaven_FEMALE_C.wav
trustler,PLC,trustler_MALE_D.wav,trustler_FEMALE_C.wav
sprindly,PLC,sprindly_MALE_D.wav,sprindly_FEMALE_C.wav
impolder,PLC,impolder_MALE_D.wav,impolder_FEMALE_C.wav
procreach,PLC,procreach_MALE_D.wav,procreach_FEMALE_C.wav
rederlity,PLC,rederlity_MALE_D.wav,rederlity_FEMALE_C.wav
distfully,PLC,distfully_MALE_D.wav,distfully_FEMALE_C.wav
reodeness,PLC,reodeness_MALE_D.wav,reodeness_FEMALE_C.wav
immerlize,PLC,immerlize_MALE_D.wav,immerlize_FEMALE_C.wav
freasite,PLS,freasite_MALE_D.wav,freasite_FEMALE_C.wav
garadign,PLS,garadign_MALE_D.wav,garadign_FEMALE_C.wav
conflite,PLS,conflite_MALE_D.wav,conflite_FEMALE_C.wav
hospency,PLS,hospency_MALE_D.wav,hospency_FEMALE_C.wav
currease,PLS,currease_MALE_D.wav,currease_FEMALE_C.wav
insterday,PLS,insterday_MALE_D.wav,insterday_FEMALE_C.wav
chamerane,PLS,chamerane_MALE_D.wav,chamerane_FEMALE_C.wav
artillise,PLS,artillise_MALE_D.wav,artillise_FEMALE_C.wav
surrifane,PLS,surrifane_MALE_D.wav,surrifane_FEMALE_C.wav
boomelege,PLS,boomelege_MALE_D.wav,boomelege_FEMALE_C.wav
duid,PSS,duid_MALE_D.wav,duid_FEMALE_C.wav
foab,PSS,foab_MALE_D.wav,foab_FEMALE_C.wav
alab,PSS,alab_MALE_D.wav,alab_FEMALE_C.wav
hyma,PSS,hyma_MALE_D.wav,hyma_FEMALE_C.wav
daip,PSS,daip_MALE_D.wav,daip_FEMALE_C.wav
abosh,PSS,abosh_MALE_D.wav,abosh_FEMALE_C.wav
lirce,PSS,lirce_MALE_D.wav,lirce_FEMALE_C.wav
bryst,PSS,bryst_MALE_D.wav,bryst_FEMALE_C.wav
clect,PSS,clect_MALE_D.wav,clect_FEMALE_C.wav
drall,PSS,drall_MALE_D.wav,drall_FEMALE_C.wav
rearce,PSS,rearce_MALE_D.wav,rearce_FEMALE_C.wav
japhen,PSS,japhen_MALE_D.wav,japhen_FEMALE_C.wav
wrivol,PSS,wrivol_MALE_D.wav,wrivol_FEMALE_C.wav
courch,PSS,courch_MALE_D.wav,courch_FEMALE_C.wav
puivon,PSS,puivon_MALE_D.wav,puivon_FEMALE_C.wav
hexy,PSC,hexy_MALE_D.wav,hexy_FEMALE_C.wav
juns,PSC,juns_MALE_D.wav,juns_FEMALE_C.wav
nory,PSC,nory_MALE_D.wav,nory_FEMALE_C.wav
rewn,PSC,rewn_MALE_D.wav,rewn_FEMALE_C.wav
onts,PSC,onts_MALE_D.wav,onts_FEMALE_C.wav
entew,PSC,entew_MALE_D.wav,entew_FEMALE_C.wav
lauly,PSC,lauly_MALE_D.wav,lauly_FEMALE_C.wav
betor,PSC,betor_MALE_D.wav,betor_FEMALE_C.wav
plars,PSC,plars_MALE_D.wav,plars_FEMALE_C.wav
damer,PSC,damer_MALE_D.wav,damer_FEMALE_C.wav
flants,PSC,flants_MALE_D.wav,flants_FEMALE_C.wav
icones,PSC,icones_MALE_D.wav,icones_FEMALE_C.wav
encask,PSC,encask_MALE_D.wav,encask_FEMALE_C.wav
misbar,PSC,misbar_MALE_D.wav,misbar_FEMALE_C.wav
counds,PSC,counds_MALE_D.wav,counds_FEMALE_C.wav
submingers,PLC,submingers_MALE_D.wav,submingers_FEMALE_C.wav
chriniable,PLC,chriniable_MALE_D.wav,chriniable_FEMALE_C.wav
alassfully,PLC,alassfully_MALE_D.wav,alassfully_FEMALE_C.wav
digrersher,PLC,digrersher_MALE_D.wav,digrersher_FEMALE_C.wav
phounching,PLC,phounching_MALE_D.wav,phounching_FEMALE_C.wav
thildhoust,PLS,thildhoust_MALE_D.wav,thildhoust_FEMALE_C.wav
gormassime,PLS,gormassime_MALE_D.wav,gormassime_FEMALE_C.wav
tescootous,PLS,tescootous_MALE_D.wav,tescootous_FEMALE_C.wav
dritertoon,PLS,dritertoon_MALE_D.wav,dritertoon_FEMALE_C.wav
noocantong,PLS,noocantong_MALE_D.wav,noocantong_FEMALE_C.wav
