Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Num Phonemes,Num Syllables,Syllables
brouhaha,,8,r,real,long,low,simple,3.04,RLLS,brouhaha,3.04,,3,brou-ha-ha
brancard,,8,r,real,long,low,simple,2.78,RLLS,brancard,2.78,,2,bran-card
crevette,,8,r,real,long,low,simple,3.18,RLLS,crevette,3.18,,2,cre-vette
corridor,,8,r,real,long,low,simple,3.41,RLLS,corridor,3.41,,3,cor-ri-dor
gingembre,,9,r,real,long,low,simple,3.2,RLLS,gingembre,3.2,,2,gin-gembre
léthargie,,9,r,real,long,low,simple,2.88,RLLS,léthargie,2.88,,3,lé-thar-gie
sarabande,,9,r,real,long,low,simple,2.27,RLLS,sarabande,2.27,,3,sa-ra-bande
spaghetti,,9,r,real,long,low,simple,3.25,RLLS,spaghetti,3.25,,3,spa-ghet-ti
habitacle,,9,r,real,long,low,simple,3.23,RLLS,habitacle,3.23,,3,ha-bi-tacle
coqueluche,,10,r,real,long,low,simple,2.98,RLLS,coqueluche,2.98,,3,co-que-luche
corbillard,,10,r,real,long,low,simple,2.59,RLLS,corbillard,2.59,,2,cor-billard
diaphragme,,10,r,real,long,low,simple,3.0,RLLS,diaphragme,3.0,,2,dia-phragme
rhinocéros,,10,r,real,long,low,simple,3.39,RLLS,rhinocéros,3.39,,4,rhi-no-cé-ros
holocauste,,10,r,real,long,low,simple,3.37,RLLS,holocauste,3.37,,3,ho-lo-causte
voiture,,7,r,real,long,high,simple,5.19,RLHS,voiture,5.19,,2,voi-ture
horizon,,7,r,real,long,high,simple,4.3,RLHS,horizon,4.3,,3,ho-ri-zon
courage,,7,r,real,long,high,simple,4.77,RLHS,courage,4.77,,2,cou-rage
conseil,,7,r,real,long,high,simple,5.38,RLHS,conseil,5.38,,1,conseil
contrat,,7,r,real,long,high,simple,4.96,RLHS,contrat,4.96,,1,contrat
véhicule,,8,r,real,long,high,simple,4.61,RLHS,véhicule,4.61,,3,vé-hi-cule
beaucoup,,8,r,real,long,high,simple,5.75,RLHS,beaucoup,5.75,,2,beau-coup
poubelle,,8,r,real,long,high,simple,4.07,RLHS,poubelle,4.07,,2,pou-belle
immeuble,,8,r,real,long,high,simple,4.49,RLHS,immeuble,4.49,,2,im-meuble
problème,,8,r,real,long,high,simple,5.41,RLHS,problème,5.41,,2,pro-blème
phénomène,,9,r,real,long,high,simple,4.62,RLHS,phénomène,4.62,,3,phé-no-mène
enveloppe,,9,r,real,long,high,simple,4.14,RLHS,enveloppe,4.14,,3,en-ve-loppe
caractère,,9,r,real,long,high,simple,4.8,RLHS,caractère,4.8,,3,ca-rac-tère
consensus,,9,r,real,long,high,simple,4.04,RLHS,consensus,4.04,,2,consen-sus
catalogue,,9,r,real,long,high,simple,4.29,RLHS,catalogue,4.29,,3,ca-ta-logue
lieutenant,,10,r,real,long,high,simple,4.51,RLHS,lieutenant,4.51,,3,lieu-te-nant
cathédrale,,10,r,real,long,high,simple,4.17,RLHS,cathédrale,4.17,,3,ca-thé-drale
hiérarchie,,10,r,real,long,high,simple,4.06,RLHS,hiérarchie,4.06,,3,hié-rar-chie
appartement,,10,r,real,long,high,simple,4.61,RLHS,appartement,4.61,,4,ap-par-te-ment
nourriture,,10,r,real,long,high,simple,4.22,RLHS,nourriture,4.62,,3,nour-ri-ture
heure,,5,r,real,short,high,simple,5.39,RSHS,heure,5.39,,1,heure
aussi,,5,r,real,short,high,simple,6.19,RSHS,aussi,6.19,,2,aus-si
poule,,5,r,real,short,high,simple,4.21,RSHS,poule,4.21,,1,poule
hôtel,,5,r,real,short,high,simple,4.97,RSHS,hôtel,4.97,,2,hô-tel
bravo,,5,r,real,short,high,simple,4.54,RSHS,bravo,4.54,,2,bra-vo
sombre,,6,r,real,short,high,simple,4.42,RSHS,sombre,4.42,,1,sombre
preuve,,6,r,real,short,high,simple,4.95,RSHS,preuve,4.95,,1,preuve
argent,,6,r,real,short,high,simple,5.37,RSHS,argent,5.37,,2,ar-gent
beurre,,6,r,real,short,high,simple,4.29,RSHS,beurre,4.29,,1,beurre
guerre,,6,r,real,short,high,simple,5.42,RSHS,guerre,5.42,,1,guerre
valse,,5,r,real,short,low,simple,3.36,RSLS,valse,3.36,,1,valse
magne,,5,r,real,short,low,simple,3.09,RSLS,magne,3.09,,1,magne
pitre,,5,r,real,short,low,simple,3.19,RSLS,pitre,3.19,,1,pitre
gigot,,5,r,real,short,low,simple,2.78,RSLS,gigot,2.78,,2,gi-got
polar,,5,r,real,short,low,simple,3.44,RSLS,polar,3.44,,2,po-lar
pollen,,6,r,real,short,low,simple,3.35,RSLS,pollen,3.35,,2,pol-len
gomina,,6,r,real,short,low,simple,1.5,RSLS,gomina,1.5,,3,go-mi-na
magnat,,6,r,real,short,low,simple,3.09,RSLS,magnat,3.09,,2,ma-gnat
gratin,,6,r,real,short,low,simple,3.29,RSLS,gratin,3.29,,2,gra-tin
piston,,6,r,real,short,low,simple,3.38,RSLS,piston,3.38,,2,pis-ton
scin,,4,,pseudo,short,,simple,,PSS,,,,1,scin
nait,,4,,pseudo,short,,simple,,PSS,,,,1,nait
pone,,4,,pseudo,short,,simple,,PSS,,,,1,pone
mobe,,4,,pseudo,short,,simple,,PSS,,,,1,mobe
mieu,,4,,pseudo,short,,simple,,PSS,,,,1,mieu
prici,,5,,pseudo,short,,simple,,PSS,,,,2,pri-ci
honou,,5,,pseudo,short,,simple,,PSS,,,,2,ho-nou
moilà,,5,,pseudo,short,,simple,,PSS,,,,2,moi-là
hiave,,5,,pseudo,short,,simple,,PSS,,,,1,hiave
hiano,,5,,pseudo,short,,simple,,PSS,,,,2,hia-no
balant,,6,,pseudo,short,,simple,,PSS,,,,2,ba-lant
cranas,,6,,pseudo,short,,simple,,PSS,,,,2,cra-nas
oranas,,6,,pseudo,short,,simple,,PSS,,,,2,ora-nas
maisin,,6,,pseudo,short,,simple,,PSS,,,,2,mai-sin
salise,,6,,pseudo,short,,simple,,PSS,,,,2,sa-lise
vécs,,4,,pseudo,short,,complex,,PSC,,,,1,vécs
sase,,4,,pseudo,short,,complex,,PSC,,,,1,sase
tali,,4,,pseudo,short,,complex,,PSC,,,,2,ta-li
rous,,4,,pseudo,short,,complex,,PSC,,,,1,rous
rort,,4,,pseudo,short,,complex,,PSC,,,,1,rort
revux,,5,,pseudo,short,,complex,,PSC,,,,2,re-vux
mueux,,5,,pseudo,short,,complex,,PSC,,,,1,mueux
reier,,5,,pseudo,short,,complex,,PSC,,,,1,reier
impus,,5,,pseudo,short,,complex,,PSC,,,,2,im-pus
impui,,5,,pseudo,short,,complex,,PSC,,,,2,im-pui
poueur,,6,,pseudo,short,,complex,,PSC,,,,1,poueur
nortel,,6,,pseudo,short,,complex,,PSC,,,,2,nor-tel
bartel,,6,,pseudo,short,,complex,,PSC,,,,2,bar-tel
noeurs,,6,,pseudo,short,,complex,,PSC,,,,1,noeurs
fleuds,,6,,pseudo,short,,complex,,PSC,,,,1,fleuds
boudron,,7,,pseudo,long,,simple,,PLS,,,,2,bou-dron
bourage,,7,,pseudo,long,,simple,,PLS,,,,2,bou-rage
gourage,,7,,pseudo,long,,simple,,PLS,,,,2,gou-rage
coudron,,7,,pseudo,long,,simple,,PLS,,,,2,cou-dron
chapent,,7,,pseudo,long,,simple,,PLS,,,,1,chapent
chalgame,,8,,pseudo,long,,simple,,PLS,,,,2,chal-game
crevetti,,8,,pseudo,long,,simple,,PLS,,,,3,cre-vet-ti
absiette,,8,,pseudo,long,,simple,,PLS,,,,2,ab-siette
phapitre,,8,,pseudo,long,,simple,,PLS,,,,2,pha-pitre
courmand,,8,,pseudo,long,,simple,,PLS,,,,2,cour-mand
acquessus,,9,,pseudo,long,,simple,,PLS,,,,3,ac-ques-sus
aubellule,,9,,pseudo,long,,simple,,PLS,,,,3,au-bel-lule
langouron,,9,,pseudo,long,,simple,,PLS,,,,3,lan-gou-ron
dingouron,,9,,pseudo,long,,simple,,PLS,,,,3,din-gou-ron
libellite,,9,,pseudo,long,,simple,,PLS,,,,3,li-bel-lite
inconce,,7,,pseudo,long,,complex,,PLC,,,,2,in-conce
balleau,,7,,pseudo,long,,complex,,PLC,,,,2,bal-leau
justial,,7,,pseudo,long,,complex,,PLC,,,,2,jus-tial
roulets,,7,,pseudo,long,,complex,,PLC,,,,2,rou-lets
mallons,,7,,pseudo,long,,complex,,PLC,,,,2,mal-lons
fraiment,,8,,pseudo,long,,complex,,PLC,,,,2,frai-ment
instagne,,8,,pseudo,long,,complex,,PLC,,,,2,ins-tagne
décurité,,8,,pseudo,long,,complex,,PLC,,,,4,dé-cu-ri-té
montable,,8,,pseudo,long,,complex,,PLC,,,,2,mon-table
vrançais,,8,,pseudo,long,,complex,,PLC,,,,2,vran-çais
sentrance,,9,,pseudo,long,,complex,,PLC,,,,2,sen-trance
décorrent,,9,,pseudo,long,,complex,,PLC,,,,2,dé-corrent
sentraire,,9,,pseudo,long,,complex,,PLC,,,,2,sen-traire
récortune,,9,,pseudo,long,,complex,,PLC,,,,3,ré-cor-tune
incompoir,,9,,pseudo,long,,complex,,PLC,,,,3,in-com-poir
imigiserai,,10,,pseudo,long,,complex,,PLC,,,,4,imi-gi-se-rai
détrovires,,10,,pseudo,long,,complex,,PLC,,,,3,dé-tro-vires
quissement,,10,,pseudo,long,,complex,,PLC,,,,3,quis-se-ment
déclenlité,,10,,pseudo,long,,complex,,PLC,,,,4,dé-clen-li-té
féminiseux,,10,,pseudo,long,,complex,,PLC,,,,4,fé-mi-ni-seux
évandestif,,10,,pseudo,long,,simple,,PLS,,,,3,évan-des-tif
cicaphonne,,10,,pseudo,long,,simple,,PLS,,,,3,ci-ca-phonne
germunique,,10,,pseudo,long,,simple,,PLS,,,,3,ger-mu-nique
coloccaphe,,10,,pseudo,long,,simple,,PLS,,,,3,co-loc-caphe
troduiller,,10,,pseudo,long,,simple,,PLS,,,,2,tro-duiller
