Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Notes
sarabande,,9,r,real,long,low,simple,2.27,RLLS,"feels complex, but probably isn’t"
spaghetti,,9,r,real,long,low,simple,3.25,RLLS,
habitacle,habit,9,rs,real,long,low,complex,3.23,RLLS,"complex, habiter, habituel"
coqueluche,,10,r,real,long,low,simple,2.98,RLLS,"feels related to coque but isn’t, is probably simple"
corbillard,corb,10,rs,real,long,low,complex,2.59,RLLS,"complex, corbeau"
diaphragme,phragme,10,pr,real,long,low,complex,3.0,RLLS,same root as mesophragme
rhinocéros,,10,rr,real,long,low,complex,3.39,RLLS,Rhino + acéré
holocauste,,10,pr,real,long,low,complex,3.37,RLLS,"Holo + causte, like in caustique"
voiture,veh,7,rs,real,long,high,complex,5.19,RLHS,same root as vehicule
horizon,horo,7,rs,real,long,high,complex,4.3,RLHS,same root as horogénèse
courage,cor,7,rs,real,long,high,complex,4.77,RLHS,same root as coeur
conseil,,7,r,real,long,high,simple,5.38,RLHS,same root as consul
contrat,tract,7,pr,real,long,high,complex,4.96,RLHS,same root as tracteur
véhicule,veh,8,rs,real,long,high,complex,4.61,RLHS,"same root as convoyer, invectiver, vecteur, voie"
beaucoup,,8,rr,real,long,high,complex,5.75,RLHS,Beau + coup
poubelle,,8,r,real,long,high,simple,4.07,RLHS,proper noun
immeuble,mobil,8,pr,real,long,high,complex,4.49,RLHS,"same root as meuble, mobile"
problème,,8,r,real,long,high,simple,5.41,RLHS,"feels like it is pro + blème, except the second part didn’t give anything"
phénomène,phéno,9,rs,real,long,high,complex,4.62,RLHS,"Phéno + mène, phenotype, energumène"
enveloppe,velop,9,pr,real,long,high,complex,4.14,RLHS,same root as développer
caractère,,9,r,real,long,high,simple,4.8,RLHS,
consensus,sens,9,pr,real,long,high,complex,4.04,RLHS,"same root as sentir, absent, sentiment, présent, sens, sensation, sensible, sensuel, sentence, sentience"
catalogue,,9,rr,real,long,high,complex,4.29,RLHS,Cata + logue
lieutenant,,10,rr,real,long,high,complex,4.51,RLHS,Lieu + tenant
cathédrale,,10,r,real,long,high,simple,4.17,RLHS,"see cathode, catapulte, catholique, I’m not sure"
hiérarchie,archos,10,pr,real,long,high,complex,4.06,RLHS,"same root as monarchie, oligarchie"
appartement,,10,prs,real,long,high,complex,4.61,RLHS,same root as partie
nourriture,nutr,10,rs,real,long,high,simple,4.22,RLHS,"same root as nourrir, nutriment"
heure,,5,r,real,short,high,simple,5.39,RSHS,
aussi,,5,r,real,short,high,simple,6.19,RSHS,"same root as ailleurs, autrui, altruisme"
poule,,5,r,real,short,high,simple,4.21,RSHS,"same root as puérile, poulain"
hôtel,host,5,rs,real,short,high,complex,4.97,RSHS,"same root as hôte, hôpital"
bravo,,5,r,real,short,high,simple,4.54,RSHS,
sombre,ombre,6,pr,real,short,high,complex,4.42,RSHS,same root as ombre
preuve,,6,r,real,short,high,simple,4.95,RSHS,"same root as approuver, probant"
argent,arg,6,rs,real,short,high,complex,5.37,RSHS,same root as argile
beurre,,6,r,real,short,high,simple,4.29,RSHS,"same root as tyrophile, surprisingly"
guerre,,6,r,real,short,high,simple,5.42,RSHS,
valse,,5,r,real,short,low,simple,3.36,RSLS,
magne,,5,r,real,short,low,simple,3.09,RSLS,depends on the meaning
pitre,,5,r,real,short,low,simple,3.19,RSLS,"same root as piètre, pied"
gigot,gig,5,rs,real,short,low,complex,2.78,RSLS,same root as gigue
polar,pol,5,rs,real,short,low,complex,3.44,RSLS,policier
pollen,,6,r,real,short,low,simple,3.35,RSLS,
gomina,gom,6,rs,real,short,low,complex,1.5,RSLS,same root as gomme
magnat,magn,6,rs,real,short,low,complex,3.09,RSLS,same root as magnum
gratin,grat,6,rs,real,short,low,complex,3.29,RSLS,same root as gratter
piston,pist,6,rs,real,short,low,complex,3.38,RSLS,same root as piste
