Pseudoword,Word,Lemma,prs,n_morphemes,Length
poulri,pourri,pourrir,"(0, 1, 0)",1,6
poyffa,pouffa,pouffer,"(0, 1, 0)",1,6
pomdre,pondre,pondre,"(0, 1, 0)",1,6
piquel,piquer,piquer,"(0, 1, 0)",1,6
pingte,pinte,pinte,"(0, 1, 0)",1,6
pignce,pince,pince,"(0, 1, 0)",1,6
brazer,blazer,blazer,"(0, 1, 0)",1,6
brason,blason,blason,"(0, 1, 0)",1,6
brabla,blabla,blabla,"(0, 1, 0)",1,6
bitwme,bitume,bitume,"(0, 1, 0)",1,6
bistlo,bistro,bistrot,"(0, 1, 0)",1,6
bisong,bison,bison,"(0, 1, 0)",1,6
birlot,billot,billot,"(0, 1, 0)",1,6
birlet,billet,billet,"(0, 1, 0)",1,6
bilagn,bilan,bilan,"(0, 1, 0)",1,6
bidure,bidule,bidule,"(0, 1, 0)",1,6
bétogn,béton,béton,"(0, 1, 0)",1,6
besoim,besoin,besoin,"(0, 1, 0)",1,6
bellue,berlue,berlue,"(0, 1, 0)",1,6
begnêt,benêt,benêt,"(0, 1, 0)",1,6
berote,belote,belote,"(0, 1, 0)",1,6
béliel,bélier,bélier,"(0, 1, 0)",1,6
beigme,beigne,beigne,"(0, 1, 0)",1,6
bégwin,béguin,béguin,"(0, 1, 0)",1,6
lestée,restée,restée,"(0, 1, 0)",1,6
qwitta,quitta,quitter,"(0, 1, 0)",1,6
pubria,publia,publier,"(0, 1, 0)",1,6
psucho,psycho,psycho,"(0, 1, 0)",1,6
prôgne,prône,prôner,"(0, 1, 0)",1,6
bavald,bavard,bavard,"(0, 1, 0)",1,6
bâtong,bâton,bâton,"(0, 1, 0)",1,6
bateaw,bateau,bâteau,"(0, 1, 0)",1,6
bâtald,bâtard,bâtard,"(0, 1, 0)",1,6
basqye,basque,basque,"(0, 1, 0)",1,6
balque,barque,barque,"(0, 1, 0)",1,6
barowf,barouf,barouf,"(0, 1, 0)",1,6
baqyet,baquet,baquet,"(0, 1, 0)",1,6
bamane,banane,banane,"(0, 1, 0)",1,6
lépéta,répéta,répéter,"(0, 1, 0)",1,6
lepère,repère,repère,"(0, 1, 0)",1,6
rerate,relate,relater,"(0, 1, 0)",1,6
légira,régira,régir,"(0, 1, 0)",1,6
lefila,refila,refiler,"(0, 1, 0)",1,6
lédige,rédige,rédiger,"(0, 1, 0)",1,6
rangge,range,ranger,"(0, 1, 0)",1,6
bagnal,banal,banal,"(0, 1, 0)",1,6
bartes,baltes,baltes,"(0, 1, 0)",1,6
barlet,ballet,ballet,"(0, 1, 0)",1,6
barèze,balèze,balèze,"(0, 1, 0)",1,6
bagyes,bagues,bague,"(0, 1, 0)",1,6
bading,badin,badin,"(0, 1, 0)",1,6
bâbold,bâbord,bâbord,"(0, 1, 0)",1,6
risqwe,risque,risque,"(0, 1, 0)",1,6
rigora,rigola,rigoler,"(0, 1, 0)",1,6
licana,ricana,ricaner,"(0, 1, 0)",1,6
lévise,révise,réviser,"(0, 1, 0)",1,6
lévère,révère,révérer,"(0, 1, 0)",1,6
lévéla,révéla,révéler,"(0, 1, 0)",1,6
lestai,restai,restai,"(0, 1, 0)",1,6
répyté,réputé,réputer,"(0, 1, 0)",1,6
aviong,avion,avion,"(0, 1, 0)",1,6
avatal,avatar,avatar,"(0, 1, 0)",1,6
auvemt,auvent,auvent,"(0, 1, 0)",1,6
autlui,autrui,autrui,"(0, 1, 0)",1,6
awteur,auteur,auteur,"(0, 1, 0)",1,6
aulore,aurore,aurore,"(0, 1, 0)",1,6
aymône,aumône,aumône,"(0, 1, 0)",1,6
aydace,audace,audace,"(0, 1, 0)",1,6
aubuln,auburn,auburn,"(0, 1, 0)",1,6
sauler,saurer,saurer,"(0, 1, 0)",1,6
satulé,saturé,saturer,"(0, 1, 0)",1,6
saqyée,saquée,saquer,"(0, 1, 0)",1,6
sarive,salive,salive,"(0, 1, 0)",1,6
