Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
vivotangt,vivotant,vivre,"(0, 1, 2)",3,9,2,0.25
varlonnait,vallonnait,val,"(0, 1, 2)",3,10,4,0.4
tenairlait,tenaillait,tenir,"(0, 1, 2)",3,10,3,0.3
candérabre,candélabre,chandelle,"(0, 1, 1)",2,10,3,0.3
piagnotant,pianotant,piano,"(0, 1, 1)",2,10,2,0.2222222222222222
piaffagnts,piaffants,piaffer,"(0, 1, 1)",2,10,3,0.3333333333333333
phalliqyes,phalliques,phall,"(0, 1, 1)",2,10,3,0.3
pétrorette,pétrolette,pétrole,"(0, 1, 1)",2,10,3,0.3
pielreries,pierreries,pierre,"(0, 1, 1)",2,10,3,0.3
persiegnne,persienne,perse,"(0, 1, 1)",2,10,2,0.2222222222222222
pelforeuse,perforeuse,perforer,"(0, 1, 1)",2,10,3,0.3
popwleuses,populeuses,popul,"(0, 1, 1)",2,10,3,0.3
pépiemegnt,pépiement,pépier,"(0, 1, 1)",2,10,2,0.2222222222222222
peingaient,peinaient,peine,"(0, 1, 1)",2,10,2,0.2222222222222222
patingette,patinette,patin,"(0, 1, 1)",2,10,2,0.2222222222222222
pacifiagnt,pacifiant,paix,"(0, 1, 1)",2,10,2,0.2222222222222222
ondowantes,ondoyantes,onde,"(0, 1, 1)",2,10,3,0.3
ploverbial,proverbial,proverb,"(0, 1, 1)",2,10,3,0.3
plodiguait,prodiguait,prodigue,"(0, 1, 1)",2,10,3,0.3
objectewrs,objecteurs,objecter,"(0, 1, 1)",2,10,3,0.3
nyxomatose,myxomatose,myxom,"(0, 1, 1)",2,10,5,0.5
mutilagnte,mutilante,mutiler,"(0, 1, 1)",2,10,3,0.3333333333333333
redogndant,redondant,redond,"(0, 1, 1)",2,10,2,0.2222222222222222
mwselières,muselières,museau,"(0, 1, 1)",2,10,3,0.3
gnusculeux,musculeux,muscle,"(0, 1, 1)",2,10,3,0.3333333333333333
mowtonneux,moutonneux,mouton,"(0, 1, 1)",2,10,3,0.3
moysqueton,mousqueton,mousquet,"(0, 1, 1)",2,10,3,0.3
mordirlait,mordillait,mordre,"(0, 1, 1)",2,10,3,0.3
gnoelleuse,moelleuse,moelle,"(0, 1, 1)",2,10,2,0.2222222222222222
lougeoyait,rougeoyait,rouge,"(0, 1, 1)",2,10,3,0.3
mescaligne,mescaline,mescal,"(0, 1, 1)",2,10,2,0.2222222222222222
gnélodieux,mélodieux,mélodie,"(0, 1, 1)",2,10,2,0.2222222222222222
sautirlait,sautillait,saut,"(0, 1, 1)",2,10,3,0.3
gnéditatif,méditatif,méditer,"(0, 1, 1)",2,10,2,0.2222222222222222
narronnier,marronnier,marron,"(0, 1, 1)",2,10,3,0.3
secowrable,secourable,secour,"(0, 1, 1)",2,10,3,0.3
nganguiers,manguiers,mangue,"(0, 1, 1)",2,10,2,0.2222222222222222
magndatant,mandatant,mandat,"(0, 1, 1)",2,10,2,0.2222222222222222
sottemengt,sottement,sot,"(0, 1, 1)",2,10,2,0.2222222222222222
songnolait,somnolait,sommeil,"(0, 1, 1)",2,10,3,0.3333333333333333
mâchomnant,mâchonnant,mâcher,"(0, 1, 1)",2,10,4,0.4
loyalisnge,loyalisme,loyal,"(0, 1, 1)",2,10,2,0.2222222222222222
loyveteaux,louveteaux,loup,"(0, 1, 1)",2,10,3,0.3
louldaudes,lourdaudes,lourd,"(0, 1, 1)",2,10,3,0.3
riquéfiait,liquéfiait,liquide,"(0, 1, 1)",2,10,3,0.3
striaiegnt,striaient,strie,"(0, 1, 1)",2,10,2,0.2222222222222222
statwerait,statuerait,statut,"(0, 1, 1)",2,10,3,0.3
lingpidité,limpidité,limpide,"(0, 1, 1)",2,10,2,0.2222222222222222
latigniste,latiniste,latin,"(0, 1, 1)",2,10,2,0.2222222222222222
telrassait,terrassait,terrasse,"(0, 1, 1)",2,10,3,0.3
tengpêtais,tempêtais,tempête,"(0, 1, 1)",2,10,2,0.2222222222222222
terlurique,tellurique,tellur,"(0, 1, 1)",2,10,3,0.3
tlaficotez,traficotez,trafic,"(0, 1, 1)",2,10,3,0.3
tlacassait,tracassait,tracas,"(0, 1, 1)",2,10,3,0.3
jowissives,jouissives,jouir,"(0, 1, 1)",2,10,3,0.3
jaldinerie,jardinerie,jardin,"(0, 1, 1)",2,10,3,0.3
urignaient,urinaient,urine,"(0, 1, 1)",2,10,2,0.2222222222222222
igngénuité,ingénuité,ingénu,"(0, 1, 1)",2,10,3,0.3333333333333333
vortigeant,voltigeant,voltige,"(0, 1, 1)",2,10,3,0.3
importugné,importuné,importun,"(0, 1, 1)",2,10,2,0.2222222222222222
ingplorant,implorant,implorer,"(0, 1, 1)",2,10,2,0.2222222222222222
immynisait,immunisait,immunité,"(0, 1, 1)",2,10,3,0.3
immogndice,immondice,immonde,"(0, 1, 1)",2,10,2,0.2222222222222222
hochengent,hochement,hocher,"(0, 1, 1)",2,10,2,0.2222222222222222
hargngeuse,hargneuse,hargne,"(0, 1, 1)",2,10,2,0.2222222222222222
grymeleuse,grumeleuse,grumel,"(0, 1, 1)",2,10,4,0.4
gouttelais,goutterais,goutte,"(0, 1, 1)",2,10,3,0.3
gazouirlis,gazouillis,gazouiller,"(0, 1, 1)",2,10,3,0.3
galçonnets,garçonnets,gars,"(0, 1, 1)",2,10,3,0.3
garçongnet,garçonnet,garçon,"(0, 1, 1)",2,10,2,0.2222222222222222
galangment,galamment,galant,"(0, 1, 1)",2,10,2,0.2222222222222222
trisaïeure,trisaïeule,aïeul,"(1, 1, 0)",2,10,4,0.4
syrréelles,surréelles,réel,"(1, 1, 0)",2,10,3,0.3
frissongna,frissonna,frisson,"(0, 1, 1)",2,10,2,0.2222222222222222
flipouille,fripouille,fripon,"(0, 1, 1)",2,10,3,0.3
amenyisait,amenuisait,menuiser,"(1, 1, 0)",2,10,3,0.3
fouingeurs,fouineurs,fouine,"(0, 1, 1)",2,10,2,0.2222222222222222
déamburait,déambulait,ambuler,"(1, 1, 0)",2,10,3,0.3
frageolets,flageolets,flageller,"(0, 1, 1)",2,10,4,0.4
flageolamt,flageolant,flageller,"(0, 1, 1)",2,10,3,0.3
féodarisme,féodalisme,féodal,"(0, 1, 1)",2,10,3,0.3
fendirlait,fendillait,fendre,"(0, 1, 1)",2,10,3,0.3
femmerette,femmelette,femme,"(0, 1, 1)",2,10,3,0.3
dépiawtant,dépiautant,piautant,"(1, 1, 0)",2,10,3,0.3
étowrderie,étourderie,étourdir,"(0, 1, 1)",2,10,3,0.3
étagnchait,étanchait,étanch,"(0, 1, 1)",2,10,2,0.2222222222222222
essaueuses,essayeuses,essay,"(0, 1, 1)",2,10,3,0.3
escrignait,escrimait,escrime,"(0, 1, 1)",2,10,2,0.2222222222222222
emtrefilet,entrefilet,filet,"(1, 1, 0)",2,10,3,0.3
emtrechocs,entrechocs,choc,"(1, 1, 0)",2,10,3,0.3
épruchures,épluchures,éplucher,"(0, 1, 1)",2,10,3,0.3
épignglage,épinglage,épingle,"(0, 1, 1)",2,10,2,0.2222222222222222
entlouvrit,entrouvrit,ouvrit,"(1, 1, 0)",2,10,3,0.3
échanclure,échancrure,échancrer,"(0, 1, 1)",2,10,3,0.3
écaillagnt,écaillant,écaille,"(0, 1, 1)",2,10,2,0.2222222222222222
incongmode,incommode,commode,"(1, 1, 0)",2,10,2,0.2222222222222222
ingmodérés,immodérés,modérer,"(1, 1, 0)",2,10,2,0.2222222222222222
doctolesse,doctoresse,docteur,"(0, 1, 1)",2,10,3,0.3
ingeffable,ineffable,effable,"(1, 1, 0)",2,10,3,0.3333333333333333
igndiffère,indiffère,différer,"(1, 1, 0)",2,10,2,0.2222222222222222
ignconsolé,inconsolé,consoler,"(1, 1, 0)",2,10,3,0.3333333333333333
devagnçais,devançais,devant,"(0, 1, 1)",2,10,2,0.2222222222222222
ignoccupée,inoccupée,occuper,"(1, 1, 0)",2,10,2,0.2222222222222222
cwmulatifs,cumulatifs,cumuler,"(0, 1, 1)",2,10,4,0.4
cwissardes,cuissardes,cuisse,"(0, 1, 1)",2,10,3,0.3
clispation,crispation,crisper,"(0, 1, 1)",2,10,3,0.3
clépitante,crépitante,crépiter,"(0, 1, 1)",2,10,3,0.3
claquelait,craquelait,craquer,"(0, 1, 1)",2,10,3,0.3
clachotait,crachotait,cracher,"(0, 1, 1)",2,10,3,0.3
coulonnant,couronnant,couronne,"(0, 1, 1)",2,10,3,0.3
cotongnier,cotonnier,coton,"(0, 1, 1)",2,10,2,0.2222222222222222
refowrgués,refourgués,fourguer,"(1, 1, 0)",2,10,3,0.3
rééditagnt,rééditant,éditer,"(1, 1, 0)",2,10,2,0.2222222222222222
coldialité,cordialité,cordial,"(0, 1, 1)",2,10,3,0.3
corderette,cordelette,corde,"(0, 1, 1)",2,10,3,0.3
conmérages,commérages,commère,"(0, 1, 1)",2,10,3,0.3
cocasselie,cocasserie,cocasse,"(0, 1, 1)",2,10,3,0.3
clounesque,clownesque,clown,"(0, 1, 1)",2,10,4,0.4
citromnade,citronnade,citron,"(0, 1, 1)",2,10,4,0.4
cignentera,cimentera,ciment,"(0, 1, 1)",2,10,2,0.2222222222222222
chwchotant,chuchotant,chuchoter,"(0, 1, 1)",2,10,3,0.3
chiffomner,chiffonner,chiffon,"(0, 1, 1)",2,10,3,0.3
chicagnait,chicanait,chicane,"(0, 1, 1)",2,10,3,0.3333333333333333
affreurait,affleurait,fleur,"(1, 1, 1)",3,10,3,0.3
chaîngette,chaînette,chaîne,"(0, 1, 1)",2,10,2,0.2222222222222222
cerngaient,cernaient,cerne,"(0, 1, 1)",2,10,2,0.2222222222222222
cangonnade,canonnade,canon,"(0, 1, 1)",2,10,3,0.3333333333333333
cachottiel,cachottier,cacher,"(0, 1, 1)",2,10,3,0.3
assongmait,assommait,somme,"(1, 1, 1)",3,10,2,0.2222222222222222
boytonneux,boutonneux,bouton,"(0, 1, 1)",2,10,4,0.4
boutongner,boutonner,bouton,"(0, 1, 1)",2,10,2,0.2222222222222222
boyquinage,bouquinage,bouquin,"(0, 1, 1)",2,10,3,0.3
boitirlait,boitillait,boire,"(0, 1, 1)",2,10,3,0.3
débowtonna,déboutonna,bouton,"(1, 1, 1)",3,10,4,0.4
blwffeuses,bluffeuses,bluff,"(0, 1, 1)",2,10,3,0.3
blongdasse,blondasse,blond,"(0, 1, 1)",2,10,3,0.3333333333333333
bigremengt,bigrement,bigre,"(0, 1, 1)",2,10,2,0.2222222222222222
bedognnant,bedonnant,bedaine,"(0, 1, 1)",2,10,2,0.2222222222222222
béatemegnt,béatement,béat,"(0, 1, 1)",2,10,2,0.2222222222222222
bastongnée,bastonnée,baston,"(0, 1, 1)",2,10,2,0.2222222222222222
bassignant,bassinant,bassin,"(0, 1, 1)",2,10,2,0.2222222222222222
baratimeur,baratineur,baratin,"(0, 1, 1)",2,10,3,0.3
barsamique,balsamique,balsam,"(0, 1, 1)",2,10,3,0.3
balkaniqye,balkanique,balkan,"(0, 1, 1)",2,10,3,0.3
barayettes,balayettes,balai,"(0, 1, 1)",2,10,3,0.3
déforngait,déformait,forme,"(1, 1, 1)",3,10,2,0.2222222222222222
aumôgnerie,aumônerie,aumône,"(0, 1, 1)",2,10,3,0.3333333333333333
déjeungait,déjeunait,jeûne,"(1, 1, 1)",3,10,2,0.2222222222222222
astlingent,astringent,astreindre,"(0, 1, 1)",2,10,3,0.3
dépeiggnit,dépeignit,peigne,"(1, 1, 1)",3,10,2,0.2222222222222222
dévissabre,dévissable,vis,"(1, 1, 1)",3,10,3,0.3
dessaoylés,dessaoulés,saoul,"(1, 1, 1)",3,10,3,0.3
déshydlaté,déshydraté,hydro,"(1, 1, 1)",3,10,4,0.4
désargnait,désarmait,arme,"(1, 1, 1)",3,10,2,0.2222222222222222
aningalité,animalité,animal,"(0, 1, 1)",2,10,2,0.2222222222222222
diffagnées,diffamées,ffam,"(1, 1, 1)",3,10,2,0.2222222222222222
aliéngante,aliénante,aliéner,"(0, 1, 1)",2,10,2,0.2222222222222222
egnboîtais,emboîtais,boîte,"(1, 1, 1)",3,10,3,0.3333333333333333
engbaumait,embaumait,baume,"(1, 1, 1)",3,10,3,0.3333333333333333
egnballait,emballait,balle,"(1, 1, 1)",3,10,2,0.2222222222222222
égaierognt,égaieront,gai,"(1, 1, 1)",3,10,2,0.2222222222222222
aigrerette,aigrelette,aigre,"(0, 1, 1)",2,10,3,0.3
agognisant,agonisant,agonie,"(0, 1, 1)",2,10,3,0.3333333333333333
agongisait,agonisait,agonie,"(0, 1, 1)",2,10,3,0.3333333333333333
emplâtlais,emplâtrais,plâtre,"(1, 1, 1)",3,10,4,0.4
empielrait,empierrait,pierre,"(1, 1, 1)",3,10,3,0.3
empairleur,empailleur,paille,"(1, 1, 1)",3,10,3,0.3
engfourcha,enfourcha,fourche,"(1, 1, 1)",3,10,3,0.3333333333333333
emdimanché,endimanché,dimanche,"(1, 1, 1)",3,10,3,0.3
acétylègne,acétylène,acétyl,"(0, 1, 1)",2,10,3,0.3333333333333333
zozotenent,zozotement,zozoter,"(0, 1, 1)",2,10,3,0.3
zézaiememt,zézaiement,zézayer,"(0, 1, 1)",2,10,3,0.3
egnsemença,ensemença,semence,"(1, 1, 1)",3,10,3,0.3333333333333333
vorleyeurs,volleyeurs,volley,"(0, 1, 1)",2,10,3,0.3
éngumérait,énumérait,numéro,"(1, 1, 1)",3,10,3,0.3333333333333333
vagwelette,vaguelette,vague,"(0, 1, 1)",2,10,3,0.3
tutoiememt,tutoiement,tutoyer,"(0, 1, 1)",2,10,3,0.3
expyrgeait,expurgeait,purge,"(1, 1, 1)",3,10,3,0.3
tlépidante,trépidante,trépider,"(0, 1, 1)",2,10,3,0.3
titubangte,titubante,tituber,"(0, 1, 1)",2,10,3,0.3333333333333333
tisognnier,tisonnier,tison,"(0, 1, 1)",2,10,2,0.2222222222222222
inconmodée,incommodée,commode,"(1, 1, 1)",3,10,3,0.3
tentateyrs,tentateurs,tenter,"(0, 1, 1)",2,10,3,0.3
infiltlait,infiltrait,filtre,"(1, 1, 1)",3,10,3,0.3
ignsanités,insanités,sain,"(1, 1, 1)",3,10,3,0.3333333333333333
ingyrgiter,ingurgiter,gorge,"(1, 1, 1)",3,10,4,0.4
mognogamie,monogamie,gam,"(1, 1, 1)",3,10,2,0.2222222222222222
gnédisance,médisance,dire,"(1, 1, 1)",3,10,2,0.2222222222222222
intitwlait,intitulait,titre,"(1, 1, 1)",3,10,3,0.3
interloqwé,interloqué,locut,"(1, 1, 1)",3,10,3,0.3
spongiewse,spongieuse,éponge,"(0, 1, 1)",2,10,3,0.3
songnantes,sonnantes,son,"(0, 1, 1)",2,10,2,0.2222222222222222
signgeries,singeries,singe,"(0, 1, 1)",2,10,2,0.2222222222222222
leboutonné,reboutonné,bouton,"(1, 1, 1)",3,10,4,0.4
segnsitifs,sensitifs,sentir,"(0, 1, 1)",2,10,3,0.3333333333333333
satanisgne,satanisme,satan,"(0, 1, 1)",2,10,2,0.2222222222222222
salaisogns,salaisons,sel,"(0, 1, 1)",2,10,2,0.2222222222222222
sybodorais,subodorais,odeur,"(1, 1, 1)",3,10,4,0.4
swractivée,suractivée,acte,"(1, 1, 2)",4,10,3,0.3
surmommait,surnommait,nom,"(1, 1, 1)",3,10,3,0.3
renifreuse,renifleuse,renifler,"(0, 1, 1)",2,10,3,0.3
rebyffades,rebuffades,rebuffe,"(0, 1, 1)",2,10,4,0.4
rayomnages,rayonnages,rayon,"(0, 1, 1)",2,10,3,0.3
lavageante,ravageante,ravage,"(0, 1, 1)",2,10,3,0.3
rengbobine,rembobine,bobine,"(2, 1, 1)",4,10,3,0.3333333333333333
raclemegnt,raclement,racler,"(0, 1, 1)",2,10,2,0.2222222222222222
labâchages,rabâchages,rabâcher,"(0, 1, 1)",2,10,4,0.4
qyadriceps,quadriceps,quatre,"(0, 1, 1)",2,10,4,0.4
spoltivité,sportivité,sport,"(0, 1, 2)",3,10,3,0.3
selvilités,servilités,servir,"(0, 1, 2)",3,10,3,0.3
pustureuse,pustuleuse,pustul,"(0, 1, 1)",2,10,4,0.4
purulegnte,purulente,purul,"(0, 1, 1)",2,10,2,0.2222222222222222
ceingturon,ceinturon,ceindre,"(0, 1, 2)",3,10,2,0.2222222222222222
barlonnant,ballonnant,balle,"(0, 1, 2)",3,10,3,0.3
chevlotais,chevrotais,chèvre,"(0, 1, 2)",3,10,3,0.3
chagntonna,chantonna,chant,"(0, 1, 2)",3,10,2,0.2222222222222222
maqwisards,maquisards,maquis,"(0, 1, 1)",2,10,4,0.4
rourdingue,lourdingue,lourd,"(0, 1, 1)",2,10,3,0.3
