Comments,Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Frequency,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,n_phonemes,n_syllables,Difference phonemes letters,Affix_Freq
yes,fuselé,6,short,low,complex,rs,real,low,1.64,RSLC,fuseau,3.09,fyzle,5,3,-1,
yes,rôdeur,6,short,low,complex,rs,real,low,2.61,RSLC,rôde,2.53,ʁodœʁ,5,2,-1,
yes,rasage,6,short,low,complex,rs,real,low,3.04,RSLC,raser,3.65,ʁazaʒ,5,2,-1,
yes,englué,6,short,low,complex,prs,real,low,2.39,RSLC,glu,2.68,ɑ̃ɡlye,6,2,0,
yesyes,mielleux,8,long,low,complex,rs,real,low,2.52,RLLC,miel,4.15,mjɛlø,5,2,-3,
,détraqué,8,long,low,complex,prs,real,low,2.72,RLLC,traquer,3.38,detʁake,7,3,-1,
ok,pulpeuse,8,long,low,complex,rs,real,low,2.65,RLLC,pulpe,3.13,pylpøz,6,2,-2,low frequency
yesyes,inhabité,8,long,low,complex,prs,real,low,2.48,RLLC,habiter,3.9,inabite,7,4,-1,
yesyes,tatoueur,8,long,low,complex,rs,real,low,2.77,RLLC,tatou,2.54,tatwœʁ,6,2,-2,
yesyes,rudement,8,long,low,complex,rs,real,low,2.86,RLLC,rude,3.89,ʁydmɑ̃,6,3,-2,
yesyes,salivant,8,long,low,complex,rs,real,low,1.29,RLLC,salive,3.44,salivɑ̃,7,3,-1,
yesyes,luisante,8,long,low,complex,rs,real,low,2.18,RLLC,luire,2.17,lyizɑ̃t,7,2,-1,
bof,tsariste,8,long,low,complex,rs,real,low,2.43,RLLC,tsar,3.41,tsaʁist,7,2,-1,
yesyes,brumeuse,8,long,low,complex,rs,real,low,2.31,RLLC,brume,3.52,bʁymøz,6,2,-2,low frequency
yesyes,grillagée,9,long,low,complex,rss,real,low,2.18,RLLC,grill,3.18,ɡʁijaʒe,7,2,-2,
yesyes,surestimé,9,long,low,complex,prs,real,low,2.76,RLLC,estimer,3.93,syʁɛstime,9,4,0,
yesyes,décompose,9,long,low,complex,pr,real,low,3.25,RLLC,compose,4.13,dekɔ̃pɔz,8,3,-1,
yesyes,tolérable,9,long,low,complex,rs,real,low,2.85,RLLC,tolérer,3.55,toleʁabl,8,3,-1,
yesyes,indiscret,9,long,low,complex,pr,real,low,3.11,RLLC,discret,4.07,ɛ̃diskʁɛ,8,3,-1,
yesyes,crapuleux,9,short,low,complex,rs,real,low,2.52,RLLC,crapule,2.75,kʁapylø,7,3,-2,
yes,décrypter,9,short,low,complex,rs,real,low,3.17,RLLC,crypt,1.87,dekʁipte,8,3,-1,
yesyes,confiseur,9,short,low,complex,rs,real,low,2.3,RLLC,confit,2.97,kɔ̃fizœʁ,8,2,-1,
yesyes,besogneux,9,short,low,complex,rs,real,low,2.15,RLLC,besogne,3.06,bəzonjø,7,3,-2,
yesyes,hargneuse,9,short,low,complex,rs,real,low,2.21,RLLC,hargne,2.88,aʁnjøz,6,2,-3,
yes,tombe,5,short,high,simple,r,real,high,5.33,RSHS,tombe,5.33,tɔ̃b,4,1,-1,
