Pseudoword,Word,Lemma,prs,n_morphemes,Length
londin,rondin,rond,"(0, 1, 1)",2,6
lôdeur,rôdeur,rôder,"(0, 1, 1)",2,6
locker,rocker,rock,"(0, 1, 1)",2,6
livage,rivage,rive,"(0, 1, 1)",2,6
rieyrs,rieurs,rire,"(0, 1, 1)",2,6
layure,rayure,rayer,"(0, 1, 1)",2,6
écoura,écoula,couler,"(1, 1, 0)",2,6
dévole,dévore,vore,"(1, 1, 0)",2,6
détoul,détour,tour,"(1, 1, 0)",2,6
dépori,dépoli,polir,"(1, 1, 0)",2,6
dénoya,dénoua,nouer,"(1, 1, 0)",2,6
démyni,démuni,munir,"(1, 1, 0)",2,6
dénets,démets,mettre,"(1, 1, 0)",2,6
déravé,délavé,laver,"(1, 1, 0)",2,6
awtour,autour,tour,"(1, 1, 0)",2,6
appolt,apport,porter,"(1, 1, 0)",2,6
inglat,ingrat,grâce,"(1, 1, 0)",2,6
ingpur,impur,pur,"(1, 1, 0)",2,6
inposa,imposa,poser,"(1, 1, 0)",2,6
impolt,import,porter,"(1, 1, 0)",2,6
impori,impoli,polir,"(1, 1, 0)",2,6
ingpie,impie,pie,"(1, 1, 0)",2,6
exhara,exhala,haler,"(1, 1, 0)",2,6
enreva,enleva,lever,"(1, 1, 0)",2,6
engfui,enfui,fuir/te,"(1, 1, 0)",2,6
engfin,enfin,fin,"(1, 1, 0)",2,6
emmema,emmena,mener,"(1, 1, 0)",2,6
enbuée,embuée,buer,"(1, 1, 0)",2,6
érança,élança,lancer,"(1, 1, 0)",2,6
adjygé,adjugé,juge,"(1, 1, 1)",3,6
abowti,abouti,bout,"(1, 1, 1)",3,6
abolda,aborda,bord,"(1, 1, 1)",3,6
lentra,rentra,entrer,"(1, 1, 0)",2,6
renoyé,renoué,nouer,"(1, 1, 0)",2,6
lemise,remise,mise,"(1, 1, 0)",2,6
leleva,releva,lever,"(1, 1, 0)",2,6
lelave,relave,laver,"(1, 1, 0)",2,6
réjowi,réjoui,jouir,"(1, 1, 0)",2,6
lejoue,rejoue,jouer,"(1, 1, 0)",2,6
léagit,réagit,agiter,"(1, 1, 0)",2,6
plénom,prénom,nom,"(1, 1, 0)",2,6
ilréel,irréel,réel,"(1, 1, 0)",2,6
élalgi,élargi,large,"(1, 1, 1)",3,6
effira,effila,fil,"(1, 1, 1)",3,6
dépria,déplia,pli,"(1, 1, 1)",3,6
dénydé,dénudé,nu,"(1, 1, 1)",3,6
déclié,décrié,cri,"(1, 1, 1)",3,6
avirir,avilir,vil,"(1, 1, 1)",3,6
assula,assura,sûr,"(1, 1, 1)",3,6
aprati,aplati,plat,"(1, 1, 1)",3,6
apalté,aparté,partir,"(1, 1, 1)",3,6
anénie,anémie,ém,"(1, 1, 1)",3,6
anoché,amoché,moche,"(1, 1, 1)",3,6
ajwsta,ajusta,juste,"(1, 1, 1)",3,6
affora,affola,fou,"(1, 1, 1)",3,6
adowci,adouci,doux,"(1, 1, 1)",3,6
lasage,rasage,raser,"(0, 1, 1)",2,6
lasade,rasade,raser,"(0, 1, 1)",2,6
lareté,rareté,rare,"(0, 1, 1)",2,6
lamure,ramure,rame,"(0, 1, 1)",2,6
psuché,psyché,psycho,"(0, 1, 1)",2,6
piétom,piéton,pied,"(0, 1, 1)",2,6
perage,pelage,peler,"(0, 1, 1)",2,6
ngalin,malin,mal,"(0, 1, 1)",2,6
ngagie,magie,mage,"(0, 1, 1)",2,6
litlon,litron,litre,"(0, 1, 1)",2,6
gemèse,genèse,gen,"(0, 1, 1)",2,6
lamena,ramena,mener,"(2, 1, 0)",3,6
laviva,raviva,vivre,"(2, 1, 1)",4,6
agegnt,agent,agir,"(0, 1, 1)",2,6
abbawe,abbaye,abbé,"(0, 1, 1)",2,6
