Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
pilule,,6,r,real,short,medium,simple,3.84,RSHS
pinard,,6,r,real,short,low,simple,2.97,RSLS
consul,,6,r,real,short,medium,simple,3.8,RSHS
pinède,,6,r,real,short,low,simple,2.61,RSLS
pingre,,6,r,real,short,low,simple,2.06,RSLS
pinson,,6,r,real,short,low,simple,2.68,RSLS
gomina,,6,r,real,short,low,simple,1.5,RSLS
alarme,,6,r,real,short,high,simple,4.08,RSHS
pistil,,6,r,real,short,low,simple,2.23,RSLS
alerte,,6,r,real,short,high,simple,4.43,RSHS
piston,,6,r,real,short,low,simple,3.38,RSLS
leurre,,6,r,real,short,low,simple,3.32,RSLS
gourde,,6,r,real,short,low,simple,3.12,RSLS
limite,,6,r,real,short,high,simple,4.86,RSHS
sombre,,6,r,real,short,high,simple,4.42,RSHS
gradin,,6,r,real,short,low,simple,2.45,RSLS
gramme,,6,r,real,short,low,simple,3.42,RSLS
plasma,,6,r,real,short,medium,simple,3.58,RSHS
grange,,6,r,real,short,medium,simple,3.76,RSHS
granit,,6,r,real,short,medium,simple,3.53,RSHS
grappe,,6,r,real,short,low,simple,3.2,RSLS
gratin,,6,r,real,short,low,simple,3.29,RSLS
cookie,,6,r,real,short,medium,simple,3.6,RSHS
grenat,,6,r,real,short,low,simple,2.85,RSLS
podium,,6,r,real,short,high,simple,4.02,RSHS
grives,,6,r,real,short,low,simple,2.43,RSLS
magnat,,6,r,real,short,low,simple,3.09,RSLS
coquin,,6,r,real,short,medium,simple,3.52,RSHS
corail,,6,r,real,short,low,simple,3.44,RSLS
poison,,6,r,real,short,medium,simple,3.82,RSHS
grotte,,6,r,real,short,medium,simple,3.95,RSHS
pollen,,6,r,real,short,low,simple,3.35,RSLS
guenon,,6,r,real,short,low,simple,2.56,RSLS
pompon,,6,r,real,short,low,simple,3.04,RSLS
statue,,6,r,real,short,high,simple,4.2,RSHS
guerre,,6,r,real,short,high,simple,5.42,RSHS
marché,,6,r,real,short,high,simple,5.22,RSHS
guilde,,6,r,real,short,medium,simple,3.62,RSHS
hagard,,6,r,real,short,low,simple,2.41,RSLS
poulpe,,6,r,real,short,low,simple,3.04,RSLS
méduse,,6,r,real,short,low,simple,3.14,RSLS
balade,,6,r,real,short,high,simple,4.02,RSHS
cortex,,6,r,real,short,low,simple,3.42,RSLS
menace,,6,r,real,short,high,simple,4.6,RSHS
hasard,,6,r,real,short,high,simple,4.65,RSHS
preuve,,6,r,real,short,high,simple,4.95,RSHS
aspect,,6,r,real,short,high,simple,4.57,RSHS
beurre,,6,r,real,short,high,simple,4.29,RSHS
prison,,6,r,real,short,high,simple,4.95,RSHS
minute,,6,r,real,short,high,simple,4.67,RSHS
blague,,6,r,real,short,high,simple,4.64,RSHS
bouche,,6,r,real,short,high,simple,4.79,RSHS
moteur,,6,r,real,short,high,simple,4.69,RSHS
asthme,,6,r,real,short,low,simple,3.46,RSLS
coyote,,6,r,real,short,low,simple,3.11,RSLS
valse,,5,r,real,short,low,simple,3.36,RSLS
vodka,,5,r,real,short,medium,simple,3.64,RSHS
voici,,5,r,real,short,high,simple,5.12,RSHS
voilà,,5,r,real,short,high,simple,5.25,RSHS
ruine,,5,r,real,short,medium,simple,3.89,RSHS
volet,,5,r,real,short,high,simple,4.05,RSHS
péril,,5,r,real,short,medium,simple,3.94,RSHS
geste,,5,r,real,short,high,simple,4.46,RSHS
wagon,,5,r,real,short,medium,simple,3.68,RSHS
sauce,,5,r,real,short,high,simple,4.26,RSHS
gigot,,5,r,real,short,low,simple,2.78,RSLS
gilet,,5,r,real,short,medium,simple,3.77,RSHS
giron,,5,r,real,short,low,simple,3.21,RSLS
phare,,5,r,real,short,high,simple,4.01,RSHS
phase,,5,r,real,short,high,simple,4.67,RSHS
selle,,5,r,real,short,medium,simple,3.79,RSHS
globe,,5,r,real,short,high,simple,4.11,RSHS
photo,,5,r,real,short,high,simple,5.14,RSHS
bourg,,5,r,real,short,medium,simple,4.0,RSHS
pièce,,5,r,real,short,high,simple,4.99,RSHS
gnome,,5,r,real,short,low,simple,3.1,RSLS
argot,,5,r,real,short,low,simple,3.23,RSLS
siège,,5,r,real,short,high,simple,4.8,RSHS
pilon,,5,r,real,short,low,simple,3.18,RSLS
godet,,5,r,real,short,low,simple,2.8,RSLS
golfe,,5,r,real,short,high,simple,4.07,RSHS
sinon,,5,r,real,short,high,simple,5.12,RSHS
ainsi,,5,r,real,short,high,simple,5.79,RSHS
piton,,5,r,real,short,low,simple,2.99,RSLS
gosse,,5,r,real,short,high,simple,4.22,RSHS
pitre,,5,r,real,short,low,simple,3.19,RSLS
pivot,,5,r,real,short,medium,simple,3.62,RSHS
pizza,,5,r,real,short,high,simple,4.1,RSHS
plage,,5,r,real,short,high,simple,4.63,RSHS
ligue,,5,r,real,short,high,simple,4.86,RSHS
plain,,5,r,real,short,low,simple,3.43,RSLS
arôme,,5,r,real,short,low,simple,3.02,RSLS
grâce,,5,r,real,short,high,simple,5.29,RSHS
songe,,5,r,real,short,medium,simple,3.76,RSHS
grade,,5,r,real,short,medium,simple,4.0,RSHS
grain,,5,r,real,short,high,simple,4.01,RSHS
plant,,5,r,real,short,low,simple,3.28,RSLS
local,,5,r,real,short,high,simple,4.66,RSHS
grief,,5,r,real,short,low,simple,3.08,RSLS
lutte,,5,r,real,short,high,simple,4.85,RSHS
soupe,,5,r,real,short,high,simple,4.18,RSHS
poêle,,5,r,real,short,medium,simple,3.62,RSHS
magne,,5,r,real,short,low,simple,3.09,RSLS
coran,,5,r,real,short,medium,simple,3.98,RSHS
poire,,5,r,real,short,low,simple,3.49,RSLS
poker,,5,r,real,short,medium,simple,3.87,RSHS
polar,,5,r,real,short,low,simple,3.44,RSLS
guêpe,,5,r,real,short,low,simple,3.04,RSLS
poney,,5,r,real,short,medium,simple,3.5,RSHS
assez,,5,r,real,short,high,simple,5.51,RSHS
pouce,,5,r,real,short,high,simple,4.13,RSHS
aussi,,5,r,real,short,high,simple,6.19,RSHS
poule,,5,r,real,short,high,simple,4.21,RSHS
corps,,5,r,real,short,high,simple,5.35,RSHS
autre,,5,r,real,short,high,simple,5.98,RSHS
boyau,,5,r,real,short,low,simple,2.83,RSLS
avant,,5,r,real,short,high,simple,5.92,RSHS
haine,,5,r,real,short,high,simple,4.58,RSHS
poupe,,5,r,real,short,low,simple,3.29,RSLS
halle,,5,r,real,short,medium,simple,3.6,RSHS
bande,,5,r,real,short,high,simple,4.96,RSHS
barbe,,5,r,real,short,high,simple,4.2,RSHS
barre,,5,r,real,short,high,simple,4.6,RSHS
merde,,5,r,real,short,high,simple,5.23,RSHS
bravo,,5,r,real,short,high,simple,4.54,RSHS
coton,,5,r,real,short,high,simple,4.06,RSHS
sucre,,5,r,real,short,high,simple,4.47,RSHS
herbe,,5,r,real,short,high,simple,4.18,RSHS
heure,,5,r,real,short,high,simple,5.39,RSHS
hibou,,5,r,real,short,low,simple,3.23,RSLS
boule,,5,r,real,short,high,simple,4.2,RSHS
hiver,,5,r,real,short,high,simple,4.85,RSHS
homme,,5,r,real,short,high,simple,5.71,RSHS
honte,,5,r,real,short,high,simple,4.6,RSHS
bribe,,5,r,real,short,low,simple,2.09,RSLS
brave,,5,r,real,short,medium,simple,3.91,RSHS
moule,,5,r,real,short,medium,simple,3.79,RSHS
prune,,5,r,real,short,low,simple,3.11,RSLS
hôtel,,5,r,real,short,high,simple,4.97,RSHS
sympa,,5,r,real,short,high,simple,4.72,RSHS
