Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
position,posit,8,rs,real,long,high,complex,5.07,RLHC
deuxième,deux,8,rs,real,long,high,complex,5.24,RLHC
charmant,charm,8,rs,real,long,medium,complex,4.0,RLHC
certain,cert,7,rs,real,long,high,complex,5.07,RLHC
service,serv,7,rs,real,long,high,complex,5.42,RLHC
mariage,mari,7,rs,real,long,high,complex,5.05,RLHC
liberté,liber,7,rs,real,long,high,complex,5.05,RLHC
maladie,malad,7,rs,real,long,high,complex,4.88,RLHC
urgence,urg,7,rs,real,long,high,complex,4.67,RLHC
terrain,terr,7,rs,real,long,high,complex,4.98,RLHC
réalité,réal,7,rs,real,long,high,complex,5.04,RLHC
justice,just,7,rs,real,long,high,complex,5.12,RLHC
artiste,art,7,rs,real,long,high,complex,4.74,RLHC
normal,norm,6,rs,real,short,high,complex,4.9,RSHC
génial,géni,6,rs,real,short,high,complex,4.51,RSHC
soirée,soir,6,rs,real,short,high,complex,5.0,RSHC
sortie,sort,6,rs,real,short,high,complex,5.13,RSHC
acteur,act,6,rs,real,short,high,complex,4.64,RSHC
action,act,6,rs,real,short,high,complex,5.17,RSHC
amitié,ami,6,rs,real,short,high,complex,4.55,RSHC
joueur,jou,6,rs,real,short,high,complex,4.98,RSHC
mortel,mort,6,rs,real,short,medium,complex,3.93,RSHC
fierté,fier,6,rs,real,short,high,complex,4.21,RSHC
postal,post,6,rs,real,short,medium,complex,3.58,RSHC
tueur,tu,5,rs,real,short,high,complex,4.05,RSHC
malin,mal,5,rs,real,short,high,complex,4.15,RSHC
idéal,idé,5,rs,real,short,high,complex,4.47,RSHC
final,fin,5,rs,real,short,high,complex,4.87,RSHC
usage,us,5,rs,real,short,high,complex,4.83,RSHC
hâtif,hât,5,rs,real,short,low,complex,2.63,RSLC
nasal,nas,5,rs,real,short,low,complex,2.78,RSLC
gaité,gai,5,rs,real,short,low,complex,2.55,RSLC
mural,mur,5,rs,real,short,low,complex,2.86,RSLC
usité,us,5,rs,real,short,low,complex,2.8,RSLC
normalement,norm,11,rss,real,long,high,complex,4.52,RLHC
électricité,électr,11,rss,real,long,high,complex,4.57,RLHC
visiblement,vis,11,rss,real,long,high,complex,4.27,RLHC
sensibilité,sens,11,rss,real,long,high,complex,4.1,RLHC
exclusivité,exclus,11,rss,real,long,medium,complex,3.78,RLHC
nationalité,nation,11,rss,real,long,high,complex,4.27,RLHC
agressivité,agress,11,rss,real,long,medium,complex,3.64,RLHC
supériorité,supér,11,rss,real,long,medium,complex,3.83,RLHC
criminalité,crimin,11,rss,real,long,medium,complex,3.73,RLHC
typiquement,typ,11,rss,real,long,medium,complex,3.74,RLHC
