Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition
consensus,,9,r,real,long,high,simple,4.04,RLHS
catalogue,,9,r,real,long,high,simple,4.29,RLHS
lieutenant,,10,r,real,long,high,simple,4.51,RLHS
cathédrale,,10,r,real,long,high,simple,4.17,RLHS
hiérarchie,,10,r,real,long,high,simple,4.06,RLHS
appartement,,10,r,real,long,high,simple,4.61,RLHS
nourriture,,10,r,real,long,high,simple,4.22,RLHS
heure,,5,r,real,short,high,simple,5.39,RSHS
aussi,,5,r,real,short,high,simple,6.19,RSHS
poule,,5,r,real,short,high,simple,4.21,RSHS
hôtel,,5,r,real,short,high,simple,4.97,RSHS
bravo,,5,r,real,short,high,simple,4.54,RSHS
sombre,,6,r,real,short,high,simple,4.42,RSHS
preuve,,6,r,real,short,high,simple,4.95,RSHS
argent,,6,r,real,short,high,simple,5.37,RSHS
beurre,,6,r,real,short,high,simple,4.29,RSHS
guerre,,6,r,real,short,high,simple,5.42,RSHS
valse,,5,r,real,short,low,simple,3.36,RSLS
magne,,5,r,real,short,low,simple,3.09,RSLS
pitre,,5,r,real,short,low,simple,3.19,RSLS
gigot,,5,r,real,short,low,simple,2.78,RSLS
polar,,5,r,real,short,low,simple,3.44,RSLS
pollen,,6,r,real,short,low,simple,3.35,RSLS
gomina,,6,r,real,short,low,simple,1.5,RSLS
magnat,,6,r,real,short,low,simple,3.09,RSLS
gratin,,6,r,real,short,low,simple,3.29,RSLS
piston,,6,r,real,short,low,simple,3.38,RSLS
