SUFFIXES,Affix,Type,summed_freq_0,normalized_freq_0,Unnamed: 5,PREFIXES,Affix.1,Type.1,summed_freq_1,normalized_freq_1,Unnamed: 11,Unnamed: 12,COMBINED,Affix.2,Type.2,summed_freq_2
,,,,,,,>ingre>,Suffix,0.03,8.611832830545827e-07,,,,>sant>,Suffix,0.62
,,,,,,,>ésim>,Suffix,0.03,8.611832830545827e-07,,,,>cul[VB]>,Suffix,0.62
,,,,,,,>ures3>,Suffix,0.03,8.611832830545827e-07,,,,>illon>,Suffix,0.62
,,,,,,,>bil>,Suffix,0.02,5.741221887030552e-07,,,,>[VB]}>,Suffix,0.6
,,,,,,,>èche>,Suffix,0.02,5.741221887030552e-07,,,,<soubre<,Prefix,0.53
,,,,,,,>ereau>,Suffix,0.01,2.870610943515276e-07,,,,>abre>,Suffix,0.5
,,,,,,,>illarde>,Suffix,0.01,2.870610943515276e-07,,,,>éfact>,Suffix,0.49
,,,,,,,>iér>,Suffix,0.01,2.870610943515276e-07,,,,>eton>,Suffix,0.48
,,,,,,,>oline>,Suffix,0.01,2.870610943515276e-07,,,,>aient>,Suffix,0.48
,,,,,,,,,,,,,,>être>,Suffix,0.47
,,,,,,,,,,,,,,>atie>,Suffix,0.47
,,,,,,,,,,,,,,>ut[VB]>,Suffix,0.47
,,,,,,,,,,,,,,>vore>,Suffix,0.46
,,,,,,,,,,,,,,>ouille>,Suffix,0.43
,,,,,,,,,,,,,,>ex>,Suffix,0.42
,,,,,,,,,,,,,,>eret>,Suffix,0.42
,,,,,,,,,,,,,,<vi<,Prefix,0.41
,,,,,,,,,,,,,,>ce>,Suffix,0.38
,,,,,,,,,,,,,,<archi<,Prefix,0.36
,,,,,,,,,,,,,,>eure>,Suffix,0.35
,,,,,,,,,,,,,,<ambi<,Prefix,0.34
,,,,,,,,,,,,,,>ingue>,Suffix,0.33
,,,,,,,,,,,,,,>ilent>,Suffix,0.3
,,,,,,,,,,,,,,>ble[VB]>,Suffix,0.29
,,,,,,,,,,,,,,>oit[VB]>,Suffix,0.29
,,,,,,,,,,,,,,>ifér[VB]>,Suffix,0.29
,,,,,,,,,,,,,,>abule>,Suffix,0.28
,,,,,,,,,,,,,,>non>,Suffix,0.26
,,,,,,,,,,,,,,>êtres>,Suffix,0.23
,,,,,,,,,,,,,,>émie>,Suffix,0.23
,,,,,,,,,,,,,,>ach[VB]>,Suffix,0.22
,,,,,,,,,,,,,,>}>,Suffix,0.21
,,,,,,,,,,,,,,>ieus>,Suffix,0.2
,,,,,,,,,,,,,,>illé>,Suffix,0.19
,,,,,,,,,,,,,,>ibard>,Suffix,0.17
,,,,,,,,,,,,,,>oyante>,Suffix,0.17
,,,,,,,,,,,,,,<apo<,Prefix,0.17
,,,,,,,,,,,,,,>uchon>,Suffix,0.16
,,,,,,,,,,,,,,>èse>,Suffix,0.15
,,,,,,,,,,,,,,>otins>,Suffix,0.15
,,,,,,,,,,,,,,>aill[VB]>,Suffix,0.13
,,,,,,,,,,,,,,>ott[VB]>,Suffix,0.12
,,,,,,,,,,,,,,>oul>,Suffix,0.12
,,,,,,,,,,,,,,>eteaux>,Suffix,0.11
,,,,,,,,,,,,,,>ichons>,Suffix,0.11
,,,,,,,,,,,,,,>iceps>,Suffix,0.11
,,,,,,,,,,,,,,>ci[VB]>,Suffix,0.1
,,,,,,,,,,,,,,>etée>,Suffix,0.1
,,,,,,,,,,,,,,>­[VB]>,Suffix,0.09
,,,,,,,,,,,,,,>ement[VB]>,Suffix,0.09
,,,,,,,,,,,,,,>andum>,Suffix,0.09
,,,,,,,,,,,,,,>fi[VB]>,Suffix,0.08
,,,,,,,,,,,,,,>oïd>,Suffix,0.08
,,,,,,,,,,,,,,>eteux>,Suffix,0.08
,,,,,,,,,,,,,,>atur>,Suffix,0.06
,,,,,,,,,,,,,,>inière>,Suffix,0.06
,,,,,,,,,,,,,,>acé>,Suffix,0.06
,,,,,,,,,,,,,,>oit>,Suffix,0.05
,,,,,,,,,,,,,,>as>,Suffix,0.05
,,,,,,,,,,,,,,>lur[VB]>,Suffix,0.05
,,,,,,,,,,,,,,>oie>,Suffix,0.04
,,,,,,,,,,,,,,<sau<,Prefix,0.04
,,,,,,,,,,,,,,<ultra<,Prefix,0.03
,,,,,,,,,,,,,,>ende>,Suffix,0.03
,,,,,,,,,,,,,,<juxta<,Prefix,0.03
,,,,,,,,,,,,,,>ures3>,Suffix,0.03
,,,,,,,,,,,,,,>ingre>,Suffix,0.03
,,,,,,,,,,,,,,>enée>,Suffix,0.03
,,,,,,,,,,,,,,>ésim>,Suffix,0.03
,,,,,,,,,,,,,,<bis<,Prefix,0.03
,,,,,,,,,,,,,,>èche>,Suffix,0.02
,,,,,,,,,,,,,,>bil>,Suffix,0.02
,,,,,,,,,,,,,,>ereau>,Suffix,0.01
,,,,,,,,,,,,,,>oline>,Suffix,0.01
,,,,,,,,,,,,,,>iér>,Suffix,0.01
,,,,,,,,,,,,,,>illarde>,Suffix,0.01
,,,,,,,,,,,,,,>el[VB]>,Suffix,0.0
,,,,,,,,,,,,,,>ell[VB]>,Suffix,0.0
,,,,,,,,,,,,,,>arc>,Suffix,0.0
,,,,,,,,,,,,,,>adères>,Suffix,0.0
,,,,,,,,,,,,,,>escences>,Suffix,0.0
,,,,,,,,,,,,,,>oyantes>,Suffix,0.0
,,,,,,,,,,,,,,>ait>,Suffix,0.0
,,,,,,,,,,,,,,<su<,Prefix,0.0
,,,,,,,,,,,,,,<tres<,Prefix,0.0
