Word,Wordlength,Condition,Audio_Male,Audio_Female
facile,6,RSHS,facile_MALE_G.wav,facile_FEMALE_C.wav
jardin,6,RSHS,jardin_MALE_G.wav,jardin_FEMALE_C.wav
problème,8,RLHS,problème_MALE_G.wav,problème_FEMALE_C.wav
complexe,8,RLHS,complexe_MALE_G.wav,complexe_FEMALE_C.wav
scandale,8,RLHS,scandale_MALE_G.wav,scandale_FEMALE_C.wav
chocolat,8,RLHS,chocolat_MALE_G.wav,chocolat_FEMALE_C.wav
commerce,8,RLHS,commerce_MALE_G.wav,commerce_FEMALE_C.wav
religion,8,RLHS,religion_MALE_G.wav,religion_FEMALE_C.wav
terasse,8,RLHS,terasse_MALE_G.wav,terasse_FEMALE_C.wav
marathon,8,RLHS,marathon_MALE_G.wav,marathon_FEMALE_C.wav
victoire,8,RLHS,victoire_MALE_G.wav,victoire_FEMALE_C.wav
séquence,8,RLHS,séquence_MALE_G.wav,séquence_FEMALE_C.wav
catalogue,9,RLHS,catalogue_MALE_G.wav,catalogue_FEMALE_C.wav
phénomène,9,RLHS,phénomène_MALE_G.wav,phénomène_FEMALE_C.wav
orchestre,9,RLHS,orchestre_MALE_G.wav,orchestre_FEMALE_C.wav
caractère,9,RLHS,caractère_MALE_G.wav,caractère_FEMALE_C.wav
satellite,9,RLHS,satellite_MALE_G.wav,satellite_FEMALE_C.wav
parallèle,9,RLHS,parallèle_MALE_G.wav,parallèle_FEMALE_C.wav
étiquette,9,RLHS,étiquette_MALE_G.wav,étiquette_FEMALE_C.wav
champagne,9,RLHS,champagne_MALE_G.wav,champagne_FEMALE_C.wav
industrie,9,RLHS,industrie_MALE_G.wav,industrie_FEMALE_C.wav
frontière,9,RLHS,frontière_MALE_G.wav,frontière_FEMALE_C.wav
ambre,5,RSLS,ambre_MALE_G.wav,ambre_FEMALE_C.wav
dèche,5,RSLS,dèche_MALE_G.wav,dèche_FEMALE_C.wav
frime,5,RSLS,frime_MALE_G.wav,frime_FEMALE_C.wav
cèdre,5,RSLS,cèdre_MALE_G.wav,cèdre_FEMALE_C.wav
gnome,5,RSLS,gnome_MALE_G.wav,gnome_FEMALE_C.wav
carpe,5,RSLS,carpe_MALE_G.wav,carpe_FEMALE_C.wav
bulbe,5,RSLS,bulbe_MALE_G.wav,bulbe_FEMALE_C.wav
morse,5,RSLS,morse_MALE_G.wav,morse_FEMALE_C.wav
prune,5,RSLS,prune_MALE_G.wav,prune_FEMALE_C.wav
nacre,5,RSLS,nacre_MALE_G.wav,nacre_FEMALE_C.wav
acajou,6,RSLS,acajou_MALE_G.wav,acajou_FEMALE_C.wav
persil,6,RSLS,persil_MALE_G.wav,persil_FEMALE_C.wav
légume,6,RSLS,légume_MALE_G.wav,légume_FEMALE_C.wav
sphinx,6,RSLS,sphinx_MALE_G.wav,sphinx_FEMALE_C.wav
girafe,6,RSLS,girafe_MALE_G.wav,girafe_FEMALE_C.wav
corset,6,RSLS,corset_MALE_G.wav,corset_FEMALE_C.wav
eczéma,6,RSLS,eczéma_MALE_G.wav,eczéma_FEMALE_C.wav
marmot,6,RSLS,marmot_MALE_G.wav,marmot_FEMALE_C.wav
nectar,6,RSLS,nectar_MALE_G.wav,nectar_FEMALE_C.wav
poulpe,6,RSLS,poulpe_MALE_G.wav,poulpe_FEMALE_C.wav
emeraude,8,RLLS,emeraude_MALE_G.wav,emeraude_FEMALE_C.wav
salpêtre,8,RLLS,salpêtre_MALE_G.wav,salpêtre_FEMALE_C.wav
samouraï,8,RLLS,samouraï_MALE_G.wav,samouraï_FEMALE_C.wav
matraque,8,RLLS,matraque_MALE_G.wav,matraque_FEMALE_C.wav
confetti,8,RLLS,confetti_MALE_G.wav,confetti_FEMALE_C.wav
genièvre,8,RLLS,genièvre_MALE_G.wav,genièvre_FEMALE_C.wav
lentille,8,RLLS,lentille_MALE_G.wav,lentille_FEMALE_C.wav
mammouth,8,RLLS,mammouth_MALE_G.wav,mammouth_FEMALE_C.wav
supplice,8,RLLS,supplice_MALE_G.wav,supplice_FEMALE_C.wav
seringue,8,RLLS,seringue_MALE_G.wav,seringue_FEMALE_C.wav
gingembre,9,RLLS,gingembre_MALE_G.wav,gingembre_FEMALE_C.wav
spaghetti,9,RLLS,spaghetti_MALE_G.wav,spaghetti_FEMALE_C.wav
écrevisse,9,RLLS,écrevisse_MALE_G.wav,écrevisse_FEMALE_C.wav
esclandre,9,RLLS,esclandre_MALE_G.wav,esclandre_FEMALE_C.wav
matricule,9,RLLS,matricule_MALE_G.wav,matricule_FEMALE_C.wav
margarine,9,RLLS,margarine_MALE_G.wav,margarine_FEMALE_C.wav
kangourou,9,RLLS,kangourou_MALE_G.wav,kangourou_FEMALE_C.wav
intellect,9,RLLS,intellect_MALE_G.wav,intellect_FEMALE_C.wav
langouste,9,RLLS,langouste_MALE_G.wav,langouste_FEMALE_C.wav
blasphème,9,RLLS,blasphème_MALE_G.wav,blasphème_FEMALE_C.wav
slagé,5,PSC,slagé_MALE_G.wav,slagé_FEMALE_C.wav
résem,5,PSC,résem_MALE_G.wav,résem_FEMALE_C.wav
désac,5,PSC,désac_MALE_G.wav,désac_FEMALE_C.wav
enjot,5,PSC,enjot_MALE_G.wav,enjot_FEMALE_C.wav
étoda,5,PSC,étoda_MALE_G.wav,étoda_FEMALE_C.wav
désla,5,PSC,désla_MALE_G.wav,désla_FEMALE_C.wav
