Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
ponte,pont,"(0, 1, 1)",1.78,2,5,4.76,3.37
pinça,pince,"(0, 1, 1)",8.44,2,5,3.68,1.81
réglo,règle,"(0, 1, 1)",5.99,2,5,4.72,2.89
régla,règle,"(0, 1, 1)",78.58,2,5,4.72,1.93
pêché,pêche,"(0, 1, 1)",13.2999999999999,2,5,4.49,3.16
pâtés,pâte,"(0, 1, 1)",1.96,2,5,4.1,2.99
paria,pari,"(0, 1, 1)",80.09,2,5,4.12,2.92
raflé,rafler,"(0, 1, 1)",1.9,2,5,2.81,2.62
râblé,râble,"(0, 1, 1)",0.01,2,5,1.72,1.4
purgé,purge,"(0, 1, 1)",2.63,2,5,3.54,3.12
pulsé,puls,"(0, 1, 1)",0.17,2,5,1.86,2.17
potée,pot,"(0, 1, 1)",0.04,2,5,4.29,2.27
batte,battre,"(0, 1, 1)",13.99,2,5,4.67,3.37
barra,barre,"(0, 1, 1)",20.07,2,5,4.6,2.89
barbu,barbe,"(0, 1, 1)",3.1,2,5,4.2,3.41
avisa,avis,"(0, 1, 1)",7.39999999999999,2,5,5.21,2.39
boxer,box,"(0, 1, 1)",3.78999999999999,2,5,4.24,3.28
botta,botte,"(0, 1, 1)",9.68,2,5,3.61,2.24
bossu,boss,"(0, 1, 1)",6.11999999999999,2,5,4.21,2.99
borna,borne,"(0, 1, 1)",4.47999999999999,2,5,3.84,2.32
nomma,nom,"(0, 1, 1)",45.57,2,5,5.59,3.2
naval,nav,"(0, 1, 1)",3.96,2,5,2.57,3.39
natté,natte,"(0, 1, 1)",0.0,2,5,2.64,1.16
nasal,nez,"(0, 1, 1)",1.27,2,5,4.66,2.78
piégé,piège,"(0, 1, 1)",20.32,2,5,4.15,3.39
pentu,pente,"(0, 1, 1)",0.05,2,5,4.04,2.25
bondé,bond,"(0, 1, 1)",6.77,2,5,4.02,3.16
bombé,bombe,"(0, 1, 1)",0.69,2,5,4.35,2.86
biner,bine,"(0, 1, 1)",0.33,2,5,2.52,1.79
caser,cas,"(0, 1, 1)",2.12,2,5,5.7,3.25
camés,came,"(0, 1, 1)",1.15,2,5,3.41,2.18
calma,calme,"(0, 1, 1)",77.97,2,5,4.86,2.68
muret,mur,"(0, 1, 1)",0.28,2,5,4.74,3.2
mural,mur,"(0, 1, 1)",0.28,2,5,4.74,2.86
mollo,mou,"(0, 1, 1)",5.23,2,5,3.85,2.96
ondée,onde,"(0, 1, 1)",0.01,2,5,4.04,2.02
ombré,ombre,"(0, 1, 1)",0.01,2,5,4.52,2.12
risée,rire,"(0, 1, 1)",2.12,2,5,4.79,3.07
nacré,nacre,"(0, 1, 1)",0.05,2,5,2.9,2.52
merdé,merde,"(0, 1, 1)",10.27,2,5,5.23,3.29
lutta,lutte,"(0, 1, 1)",19.48,2,5,4.85,2.36
lotir,lot,"(0, 1, 1)",0.01,2,5,4.42,1.86
longe,long,"(0, 1, 1)",2.07,2,5,5.31,3.42
lesté,lest,"(0, 1, 1)",2.09,2,5,3.09,2.4
laqué,laque,"(0, 1, 1)",0.54,2,5,3.1,2.65
lacis,lacer,"(0, 1, 1)",0.0,2,5,2.32,1.75
miter,mettre,"(0, 1, 1)",0.2,2,5,5.55,1.4
minci,mince,"(0, 1, 1)",0.21,2,5,4.24,1.66
brisa,bris,"(0, 1, 1)",67.93,2,5,3.26,2.7
ciblé,cible,"(0, 1, 1)",0.45,2,5,4.51,3.43
chuté,chute,"(0, 1, 1)",2.86,2,5,4.64,3.47
lacet,lacer,"(0, 1, 1)",4.39999999999999,2,5,2.32,3.06
juron,jurer,"(0, 1, 1)",0.42,2,5,3.49,2.55
jupon,jupe,"(0, 1, 1)",3.0,2,5,3.92,2.79
jauni,jaune,"(0, 1, 1)",1.19,2,5,4.65,2.43
irisé,iris,"(0, 1, 1)",0.03,2,5,3.8,2.08
