Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
lingo,lino,lino,5,"(0, 1, 0)",1,5
ringe,linge,linge,6,"(0, 1, 0)",1,5
rilas,lilas,lilas,7,"(0, 1, 0)",1,5
rigne,ligne,ligne,7,"(0, 1, 0)",1,5
gnoua,noua,nouer,4,"(0, 1, 0)",1,5
gnota,nota,noter,5,"(0, 1, 0)",1,5
mytât,mutât,muter,7,"(0, 1, 0)",1,5
bowée,bouée,bouée,5,"(0, 1, 0)",1,5
bognd,bond,bond,4,"(0, 1, 0)",1,5
pâtil,pâtir,pâtir,6,"(0, 1, 0)",1,5
parra,parla,parler,7,"(0, 1, 0)",1,5
pamse,panse,panse,6,"(0, 1, 0)",1,5
parpa,palpa,palper,7,"(0, 1, 0)",1,5
nacho,macho,macho,6,"(0, 1, 0)",1,5
lwcée,lycée,lycée,7,"(0, 1, 0)",1,5
rundi,lundi,lundi,6,"(0, 1, 0)",1,5
lwbie,lubie,lubie,7,"(0, 1, 0)",1,5
royer,loyer,loyer,5,"(0, 1, 0)",1,5
rieng,rien,rien,7,"(0, 1, 0)",1,5
liche,riche,riche,7,"(0, 1, 0)",1,5
létro,rétro,rétro,6,"(0, 1, 0)",1,5
naman,maman,maman,7,"(0, 1, 0)",1,5
marle,malle,malle,7,"(0, 1, 0)",1,5
ngaïs,maïs,maïs,7,"(0, 1, 0)",1,5
maile,maire,maire,7,"(0, 1, 0)",1,5
maing,main,main,7,"(0, 1, 0)",1,5
nagot,magot,magot,6,"(0, 1, 0)",1,5
nages,mages,mage,7,"(0, 1, 0)",1,5
nafia,mafia,mafia,7,"(0, 1, 0)",1,5
lepos,repos,repos,6,"(0, 1, 0)",1,5
lépit,répit,répit,7,"(0, 1, 0)",1,5
lepas,repas,repas,7,"(0, 1, 0)",1,5
lente,rente,rente,6,"(0, 1, 0)",1,5
rêmes,rênes,rênes,6,"(0, 1, 0)",1,5
ovure,ovule,ovule,6,"(0, 1, 0)",1,5
oyvré,ouvré,ouvrer,6,"(0, 1, 0)",1,5
oytré,outré,outrer,6,"(0, 1, 0)",1,5
owtre,outre,outre,6,"(0, 1, 0)",1,5
boeyf,boeuf,boeuf,4,"(0, 1, 0)",1,5
