Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
médaille,médaille,"(0, 1, 0)",16.33,1,8,4.4,4.4
mauvaise,mauvais,"(0, 1, 0)",263.89,1,8,5.03,4.91
maréchal,maréchal,"(0, 1, 0)",2.71,1,8,4.17,4.17
marchand,marchand,"(0, 1, 0)",21.0,1,8,4.17,4.17
marathon,marathon,"(0, 1, 0)",1.98,1,8,4.01,4.01
magazine,magazine,"(0, 1, 0)",21.4199999999999,1,8,4.51,4.51
logiciel,logiciel,"(0, 1, 0)",2.51,1,8,4.36,4.36
internet,internet,"(0, 1, 0)",5.61,1,8,5.13,5.13
internes,interne,"(0, 1, 0)",20.88,1,8,4.58,4.2
pavillon,pavillon,"(0, 1, 0)",5.94999999999999,1,8,4.08,4.08
paroisse,paroisse,"(0, 1, 0)",5.42,1,8,4.07,4.07
pareille,pareil,"(0, 1, 0)",153.0,1,8,4.82,4.09
pantalon,pantalon,"(0, 1, 0)",37.55,1,8,4.13,4.13
occident,occident,"(0, 1, 0)",0.38,1,8,4.25,4.25
revanche,revanche,"(0, 1, 0)",13.73,1,8,4.66,4.66
réussite,réussir/te,"(0, 1, 0)",144.27,1,8,4.5,4.43
retraite,retraite,"(0, 1, 0)",39.4599999999999,1,8,4.8,4.8
religion,religion,"(0, 1, 0)",24.6699999999999,1,8,4.85,4.85
relation,relation,"(0, 1, 0)",74.95,1,8,4.91,4.91
registre,registre,"(0, 1, 0)",8.62,1,8,4.33,4.33
tactique,tactique,"(0, 1, 0)",8.25,1,8,4.02,4.02
synthèse,synthèse,"(0, 1, 0)",1.62,1,8,4.18,4.18
standard,standard,"(0, 1, 0)",7.41,1,8,4.44,4.44
occasion,occasion,"(0, 1, 0)",61.89,1,8,5.12,5.12
novembre,novembre,"(0, 1, 0)",8.79,1,8,5.15,5.15
musulman,musulman,"(0, 1, 0)",11.52,1,8,4.29,4.29
monument,monument,"(0, 1, 0)",6.68,1,8,4.19,4.19
montagne,montagne,"(0, 1, 0)",62.01,1,8,4.62,4.62
ministre,ministre,"(0, 1, 0)",41.41,1,8,5.27,5.27
mercredi,mercredi,"(0, 1, 0)",21.49,1,8,4.75,4.75
problème,problème,"(0, 1, 0)",520.069999999999,1,8,5.41,5.41
probable,probable,"(0, 1, 0)",10.61,1,8,4.4,4.4
principe,principe,"(0, 1, 0)",26.3699999999999,1,8,4.92,4.92
poubelle,poubelle,"(0, 1, 0)",21.34,1,8,4.07,4.07
possible,possible,"(0, 1, 0)",217.84,1,8,5.39,5.39
poitrine,poitrine,"(0, 1, 0)",26.45,1,8,4.25,4.25
plaindre,plaindre/te,"(0, 1, 0)",66.74,1,8,4.24,4.25
physique,physique,"(0, 1, 0)",29.6899999999999,1,8,4.93,4.93
pétition,pétition,"(0, 1, 0)",3.0,1,8,4.11,4.11
personne,personne,"(0, 1, 0)",874.359999999999,1,8,5.73,5.73
régiment,régiment,"(0, 1, 0)",12.3,1,8,4.08,4.08
question,question,"(0, 1, 0)",411.82,1,8,5.5,5.5
quelques,quelque,"(0, 1, 0)",1284.57,1,8,5.54,5.75
quarante,quarante,"(0, 1, 0)",9.65,1,8,4.26,4.26
quantité,quantité,"(0, 1, 0)",10.3,1,8,4.6,4.6
province,province,"(0, 1, 0)",12.0,1,8,4.8,4.8
prophète,prophète,"(0, 1, 0)",11.32,1,8,4.07,4.07
promesse,promesse,"(0, 1, 0)",32.2,1,8,4.33,4.33
profonde,profond,"(0, 1, 0)",43.84,1,8,4.37,4.31
seigneur,seigneur,"(0, 1, 0)",153.82,1,8,4.87,4.87
scandale,scandale,"(0, 1, 0)",20.93,1,8,4.34,4.34
sanction,sanction,"(0, 1, 0)",2.35,1,8,4.03,4.03
ridicule,ridicule,"(0, 1, 0)",69.83,1,8,4.47,4.47
incendie,incendie,"(0, 1, 0)",21.16,1,8,4.45,4.45
immeuble,immeuble,"(0, 1, 0)",31.04,1,8,4.49,4.49
illusion,illusion,"(0, 1, 0)",19.14,1,8,4.05,4.05
identité,identité,"(0, 1, 0)",34.79,1,8,4.76,4.76
campagne,campagne,"(0, 1, 0)",51.12,1,8,5.09,5.09
bulletin,bulletin,"(0, 1, 0)",6.35,1,8,4.29,4.29
boutique,boutique,"(0, 1, 0)",26.53,1,8,4.36,4.36
bénéfice,bénéfice,"(0, 1, 0)",8.96999999999999,1,8,4.32,4.32
banlieue,banlieue,"(0, 1, 0)",7.92,1,8,4.27,4.27
carrière,carrière,"(0, 1, 0)",36.54,1,8,4.91,4.91
cardinal,cardinal,"(0, 1, 0)",5.81999999999999,1,8,4.28,4.28
capitale,capitale,"(0, 1, 0)",16.6699999999999,1,8,4.78,4.78
capacité,capacité,"(0, 1, 0)",17.3,1,8,4.79,4.79
candidat,candidat,"(0, 1, 0)",17.1,1,8,4.78,4.78
portrait,portrait,"(0, 1, 0)",26.09,1,8,4.51,4.51
pouvoirs,pouvoirs,"(0, 1, 0)",28.36,1,8,4.63,4.63
pratique,pratique,"(0, 1, 0)",26.7999999999999,1,8,5.02,5.02
