Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
prostrée,prostrer,"(0, 1, 1)",0.15,2,8,0.0,2.09
prunelle,prune,"(0, 1, 1)",1.09999999999999,2,8,3.11,2.71
psychose,psycho,"(0, 1, 1)",1.79,2,8,3.61,3.35
pulpeuse,pulpe,"(0, 1, 1)",0.11,2,8,3.13,2.65
regardée,regard,"(0, 1, 1)",1196.98,2,8,4.84,3.43
probants,prob,"(0, 1, 1)",0.06,2,8,2.6,2.86
tortueux,tort,"(0, 1, 1)",0.44,2,8,4.54,2.73
piqueuse,piquer,"(0, 1, 1)",0.0,2,8,3.88,1.33
pontages,pont,"(0, 1, 1)",0.04,2,8,4.76,1.71
pontifie,pontife,"(0, 1, 1)",0.0,2,8,3.15,1.1
populace,popul,"(0, 1, 1)",1.53,2,8,1.56,3.05
portatif,porter,"(0, 1, 1)",0.4,2,8,4.98,2.89
portière,porte,"(0, 1, 1)",4.96,2,8,5.47,3.32
portique,porte,"(0, 1, 1)",0.389999999999999,2,8,5.47,3.36
posément,poser,"(0, 1, 1)",0.1,2,8,4.83,2.56
armurier,arme,"(0, 1, 2)",0.6,3,8,4.67,2.69
puritain,pur,"(0, 1, 1)",0.69,2,8,4.42,2.59
quadrant,quatre,"(0, 1, 1)",0.64,2,8,5.42,2.84
quêteurs,quête,"(0, 1, 1)",0.0,2,8,4.26,1.3
quiétude,quiet,"(0, 1, 1)",0.64,2,8,2.53,3.14
rabotage,rabot,"(0, 1, 1)",0.0,2,8,2.74,2.11
tringler,tringle,"(0, 1, 1)",0.66,2,8,2.57,2.28
poudrier,poudre,"(0, 1, 1)",0.25,2,8,4.25,2.26
pillarde,piller,"(0, 1, 1)",0.99,2,8,3.36,1.2
triompha,triomphe,"(0, 1, 1)",4.27,2,8,4.02,1.97
trottait,trot,"(0, 1, 1)",2.88,2,8,3.22,2.23
troussée,trousse,"(0, 1, 1)",0.11,2,8,3.48,1.16
tsariste,tsar,"(0, 1, 1)",0.1,2,8,3.41,2.43
vaniteux,vain,"(0, 1, 1)",1.87,2,8,4.03,2.71
vénéneux,venin,"(0, 1, 1)",2.13,2,8,3.39,2.55
racolage,racoler,"(0, 1, 1)",0.57,2,8,2.12,2.77
ventilos,vent,"(0, 1, 2)",0.22,3,8,4.8,2.12
véracité,vérité,"(0, 1, 2)",0.58,3,8,5.02,3.3
vivacité,vivre,"(0, 1, 2)",0.74,3,8,5.21,3.27
voracité,vore,"(0, 1, 2)",0.07,3,8,1.81,2.23
actionne,acte,"(0, 1, 2)",1.46,3,8,4.79,2.72
activait,acte,"(0, 1, 2)",8.25,3,8,4.79,2.11
radieuse,radi,"(0, 1, 1)",3.88,2,8,2.05,3.0
piquette,piquer,"(0, 1, 1)",0.99,2,8,3.88,2.43
visitant,visite,"(0, 1, 1)",0.24,2,8,4.9,3.18
vivifier,vivre,"(0, 1, 1)",0.01,2,8,5.21,1.83
adverses,verse,"(1, 1, 0)",0.1,2,8,3.7,3.3
alchimie,chimie,"(1, 1, 0)",0.95,2,8,4.25,3.36
pétrifié,pétr,"(0, 1, 1)",2.47,2,8,0.0,2.66
peureuse,peur,"(0, 1, 1)",3.17999999999999,2,8,5.24,2.35
repérage,repère,"(0, 1, 1)",1.62,2,8,3.79,3.26
râlement,râle,"(0, 1, 1)",0.0,2,8,3.4,1.09
rampante,ramper,"(0, 1, 1)",0.38,2,8,2.96,2.76
râtelier,râteau,"(0, 1, 1)",0.36,2,8,2.96,2.21
receleur,recel,"(0, 1, 1)",0.34,2,8,3.11,2.08
reliquat,relique,"(0, 1, 1)",0.04,2,8,3.19,2.76
remuante,remuer,"(0, 1, 1)",0.05,2,8,3.43,1.91
sonorité,son,"(0, 1, 2)",0.26,3,8,6.47,3.17
postiers,poste,"(0, 1, 1)",0.06,2,8,5.08,2.63
pierreux,pierre,"(0, 1, 1)",0.0,2,8,5.28,2.37
penderie,pendre,"(0, 1, 1)",1.84,2,8,3.56,2.77
