Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
tourisme,tour,"(0, 1, 1)",2.98,2,8,5.37,4.55
tournage,tour,"(0, 1, 1)",16.59,2,8,5.37,4.33
tragique,tragédie,"(0, 1, 1)",13.83,2,8,4.12,4.03
trahison,trahir,"(0, 1, 1)",18.6199999999999,2,8,3.62,4.04
effectif,effet,"(0, 1, 1)",3.2,2,8,5.48,4.24
élection,élire,"(0, 1, 1)",17.17,2,8,3.95,4.81
émission,émettre,"(0, 1, 1)",32.32,2,8,3.82,4.83
équipage,équipe,"(0, 1, 1)",19.9,2,8,5.48,4.34
distance,distant,"(0, 1, 1)",32.24,2,8,3.48,4.74
division,diviser,"(0, 1, 1)",13.08,2,8,3.83,4.62
écriture,écrire,"(0, 1, 1)",13.65,2,8,4.87,4.59
écrivain,écrire,"(0, 1, 1)",24.5099999999999,2,8,4.87,4.41
tribunal,tribune,"(0, 1, 1)",37.97,2,8,4.24,4.78
vacances,vac,"(0, 1, 1)",67.6,2,8,2.61,4.91
violence,violent,"(0, 1, 1)",41.4499999999999,2,8,4.29,4.76
visibles,voir,"(0, 1, 1)",8.98,2,8,5.94,4.06
vocation,voie,"(0, 1, 1)",9.26,2,8,5.03,4.23
qualifié,qualité,"(0, 1, 1)",9.61,2,8,5.12,4.25
création,créer,"(0, 1, 1)",11.15,2,8,4.97,5.06
criminel,crime,"(0, 1, 1)",54.66,2,8,4.64,4.22
culturel,culture,"(0, 1, 1)",6.05,2,8,5.17,4.46
décision,décider,"(0, 1, 1)",66.48,2,8,4.51,4.97
deuxième,deux,"(0, 1, 1)",57.1,2,8,6.18,5.24
connerie,con,"(0, 1, 1)",95.43,2,8,4.9,4.14
créateur,créer,"(0, 1, 1)",9.2,2,8,4.97,4.24
adhésion,adhérer,"(0, 1, 1)",0.45,2,8,3.66,4.1
adoption,adopter,"(0, 1, 1)",4.06,2,8,4.29,4.29
adorable,adorer,"(0, 1, 1)",25.94,2,8,3.67,4.04
africain,afrique,"(0, 1, 1)",7.76,2,8,5.02,4.27
agréable,agréer,"(0, 1, 1)",41.54,2,8,2.86,4.51
altitude,alt,"(0, 1, 1)",6.37,2,8,3.49,4.18
chimique,chimie,"(0, 1, 1)",10.51,2,8,4.25,4.16
chrétien,christ,"(0, 1, 1)",24.29,2,8,4.5,4.27
citation,citer,"(0, 1, 1)",5.01,2,8,4.33,4.18
bancaire,banc,"(0, 1, 1)",3.94,2,8,4.22,4.21
barrière,barre,"(0, 1, 1)",9.13,2,8,4.6,4.08
bâtiment,bâtir,"(0, 1, 1)",27.58,2,8,3.96,4.68
blessure,blesser,"(0, 1, 1)",41.82,2,8,3.92,4.29
brillant,briller,"(0, 1, 1)",34.71,2,8,3.73,4.17
canadien,canada,"(0, 1, 1)",5.26,2,8,5.14,4.56
ceinture,ceindre,"(0, 1, 1)",22.7599999999999,2,8,1.95,4.27
centaine,cent,"(0, 1, 1)",29.2299999999999,2,8,4.65,4.19
chasseur,chasse,"(0, 1, 1)",34.15,2,8,4.66,4.03
arrivant,arriver,"(0, 1, 1)",9.65,2,8,4.99,4.05
attentat,attenter,"(0, 1, 1)",14.58,2,8,2.46,4.35
autorité,autoriser,"(0, 1, 1)",32.94,2,8,3.92,4.74
aviation,avion,"(0, 1, 1)",5.17,2,8,4.86,4.01
efficace,effet,"(0, 1, 1)",14.54,2,8,5.48,4.64
empereur,empire,"(0, 1, 1)",28.51,2,8,4.73,4.54
évidence,évident,"(0, 1, 1)",11.47,2,8,4.5,4.44
exercice,exerc,"(0, 1, 1)",22.66,2,8,1.15,4.7
rapporte,porte,"(2, 1, 0)",21.03,3,8,5.47,4.41
remporté,porter,"(2, 1, 0)",5.39,3,8,4.98,4.34
festival,fête,"(0, 1, 2)",7.51,3,8,4.95,4.77
pacifique,paix,"(0, 1, 2)",4.32,3,9,4.97,4.26
activités,acte,"(0, 1, 2)",10.42,3,9,4.79,4.93
nouveauté,nouveau,"(0, 1, 2)",4.23,3,9,5.63,4.04
notamment,note,"(0, 1, 2)",2.2,3,9,4.96,5.38
modalités,mode,"(0, 1, 2)",0.4,3,9,5.15,4.05
autrement,autre,"(0, 1, 1)",40.16,2,9,5.98,4.67
attaquant,attaque,"(0, 1, 1)",1.6,2,9,4.94,4.16
assistant,assister,"(0, 1, 1)",32.4,2,9,4.29,4.17
assemblée,assembler,"(0, 1, 1)",7.58,2,9,3.4,4.96
asiatique,asie,"(0, 1, 1)",4.3,2,9,4.51,4.06
antiquité,antique,"(0, 1, 1)",4.92,2,9,4.1,4.04
animation,animer,"(0, 1, 1)",1.45,2,9,3.62,4.36
