Word,Lexicality,Size,Length,Frequency,Zipf Frequency,Morphology,Part of Speech,Phonemes,Condition,Root,Lemma,Zipf Lemma Frequency
brinbow,pseudo,long,7,,,simple,,"['B', 'R', 'IH1', 'N', 'B', 'OW0']",PLS,,,
freasite,pseudo,long,8,,,simple,,"['F', 'R', 'IY1', 'Z', 'IH0', 'T']",PLS,,,
garadign,pseudo,long,8,,,simple,,"['G', 'AE1', 'R', 'AH0', 'G', 'AH0', 'N', 'D']",PLS,,,
conflite,pseudo,long,8,,,simple,,"['K', 'AH0', 'N', 'F', 'L', 'AY1', 'T']",PLS,,,
hospency,pseudo,long,8,,,simple,,"['HH', 'AA1', 'S', 'P', 'AH0', 'N', 'S', 'IY0']",PLS,,,
currease,pseudo,long,8,,,simple,,"['K', 'ER0', 'IY1', 'S']",PLS,,,
insterday,pseudo,long,9,,,simple,,"['IH1', 'N', 'S', 'T', 'ER0', 'D', 'EY2']",PLS,,,
chamerane,pseudo,long,9,,,simple,,"['CH', 'AE1', 'M', 'ER0', 'N', 'EY2']",PLS,,,
artillise,pseudo,long,9,,,simple,,"['AA1', 'R', 'T', 'AH0', 'L', 'AY2', 'Z']",PLS,,,
surricane,pseudo,long,9,,,simple,,"['S', 'ER1', 'AH0', 'K', 'EY2', 'N']",PLS,,,
boomelege,pseudo,long,9,,,simple,,"['B', 'UW1', 'M', 'AH0', 'L', 'AH0', 'JH']",PLS,,,
duid,pseudo,short,4,,,simple,,"['D', 'UW1', 'D']",PSS,,,
foab,pseudo,short,4,,,simple,,"['F', 'OW1', 'B']",PSS,,,
alab,pseudo,short,4,,,simple,,"['AH0', 'L', 'AA1', 'B']",PSS,,,
hyma,pseudo,short,4,,,simple,,"['HH', 'AY1', 'M', 'AH0']",PSS,,,
daip,pseudo,short,4,,,simple,,"['D', 'EY1', 'P']",PSS,,,
abosh,pseudo,short,5,,,simple,,"['AH0', 'B', 'AA1', 'SH']",PSS,,,
lirce,pseudo,short,5,,,simple,,"['R', 'IH1', 'S']",PSS,,,
bryst,pseudo,short,5,,,simple,,"['B', 'R', 'IH1', 'S', 'T']",PSS,,,
clect,pseudo,short,5,,,simple,,"['K', 'L', 'EH1', 'K', 'T']",PSS,,,
drall,pseudo,short,5,,,simple,,"['D', 'R', 'AO1', 'L']",PSS,,,
